episode,score,steps,epsilon,loss,avg_q
1,41,11,0.9996,0.0000,0.0532
2,166,16,0.9992,0.0000,0.0494
3,40,12,0.9989,9.0354,0.0624
4,168,16,0.9985,7.9799,0.3263
5,36,9,0.9981,8.9379,1.0126
6,38,8,0.9977,7.5339,2.7484
7,42,11,0.9973,5.8531,5.2249
8,39,9,0.9970,4.8232,8.9467
9,61,13,0.9966,5.1723,11.3490
10,56,11,0.9962,5.1397,10.8815
11,62,14,0.9958,4.0040,9.6404
12,53,10,0.9954,3.6729,13.0320
13,54,10,0.9951,3.8508,22.2865
14,52,12,0.9947,4.2024,16.3958
15,64,13,0.9943,3.2686,14.8214
16,33,7,0.9939,5.4296,13.3709
17,60,13,0.9935,3.0469,15.8319
18,27,7,0.9932,3.0085,16.7950
19,37,12,0.9928,4.0005,17.0567
20,61,12,0.9924,3.4629,12.7043
21,121,17,0.9920,2.9904,17.0991
22,87,15,0.9916,2.7663,18.6854
23,52,10,0.9913,3.2403,11.4117
24,41,10,0.9909,3.7182,19.3330
25,120,17,0.9905,3.3260,11.3632
26,32,9,0.9901,3.3007,20.7508
27,28,7,0.9897,4.0967,13.8991
28,176,18,0.9894,3.3452,15.2579
29,37,9,0.9890,3.4843,21.6551
30,48,13,0.9886,3.7042,12.2743
31,85,15,0.9882,4.4722,13.4317
32,126,18,0.9878,4.1055,12.9248
33,58,12,0.9875,4.6675,17.4670
34,169,24,0.9871,4.1465,10.1073
35,35,8,0.9867,3.8157,15.2190
36,42,7,0.9863,4.0709,12.6753
37,46,14,0.9859,4.5070,12.8700
38,42,10,0.9856,3.7773,9.8040
39,32,9,0.9852,4.0886,17.3564
40,148,23,0.9848,3.9543,10.4537
41,38,10,0.9844,4.9504,12.2328
42,37,8,0.9840,4.3187,11.6235
43,37,9,0.9837,5.3360,11.8568
44,37,10,0.9833,4.3574,12.5771
45,58,13,0.9829,9.2583,10.4222
46,35,8,0.9825,8.4511,22.2116
47,107,16,0.9821,7.3251,23.8078
48,45,12,0.9818,7.1123,17.4327
49,56,13,0.9814,6.2154,20.6875
50,56,11,0.9810,5.1145,17.9184
51,47,11,0.9806,4.7021,17.0184
52,57,11,0.9802,3.9806,17.2935
53,61,12,0.9799,4.5890,15.2932
54,41,11,0.9795,4.7630,16.5147
55,79,17,0.9791,4.9135,14.5605
56,80,12,0.9787,5.5153,15.7842
57,36,9,0.9783,6.5753,16.9392
58,38,10,0.9780,4.6234,16.8456
59,32,8,0.9776,4.7582,17.7057
60,40,11,0.9772,4.3976,16.0674
61,37,11,0.9768,3.6284,16.5256
62,30,7,0.9764,6.4792,17.1404
63,46,9,0.9761,4.6036,16.8010
64,44,9,0.9757,4.5303,17.0611
65,62,14,0.9753,5.3653,15.9298
66,88,15,0.9749,5.5953,15.7315
67,76,13,0.9745,5.1000,14.7289
68,61,13,0.9742,4.9077,16.1770
69,70,13,0.9738,5.0702,14.5733
70,38,10,0.9734,4.3957,14.7788
71,104,17,0.9730,4.9353,15.7214
72,40,10,0.9726,4.8301,16.2585
73,172,17,0.9723,5.0765,14.7432
74,42,14,0.9719,5.7886,14.7022
75,43,11,0.9715,5.4055,13.2139
76,34,9,0.9711,5.0015,16.3049
77,48,12,0.9707,4.4897,15.0462
78,130,18,0.9704,5.0472,14.8339
79,55,11,0.9700,4.6128,14.5233
80,58,13,0.9696,4.7345,15.5753
81,61,14,0.9692,4.2658,12.9374
