episode,score,steps,epsilon,loss,avg_q
152,26,6,0.9928,3.6735,21.1600
153,51,10,0.9927,5.2090,25.1428
154,35,10,0.9927,3.3124,22.5163
155,34,9,0.9926,5.0600,22.1492
156,30,7,0.9926,4.6121,23.9386
157,48,13,0.9925,4.4637,23.3674
158,105,13,0.9925,4.6933,25.3454
159,57,12,0.9924,5.6269,23.9264
160,43,8,0.9924,5.4177,24.4454
161,36,9,0.9924,4.8804,23.7160
162,63,15,0.9923,4.1043,24.1113
163,46,13,0.9923,4.5223,21.8465
164,54,10,0.9922,3.5207,23.8408
165,53,10,0.9922,5.1964,25.9086
166,38,8,0.9921,5.6881,25.8224
167,39,10,0.9921,3.8059,24.7454
168,35,9,0.9920,5.0131,22.4468
169,60,14,0.9920,5.2929,23.8407
170,77,10,0.9919,4.7785,23.3417
171,34,10,0.9919,5.0064,23.1546
172,49,8,0.9918,4.8833,25.2231
173,33,8,0.9918,5.1000,23.7759
174,57,10,0.9917,6.5480,24.9653
175,36,11,0.9917,3.7757,22.9730
176,24,6,0.9916,4.0200,23.3842
177,36,10,0.9916,6.8770,26.6176
178,31,8,0.9915,6.1119,32.1738
179,44,13,0.9915,5.1040,30.7467
180,125,17,0.9915,4.8403,32.5770
181,41,10,0.9914,4.0523,30.5542
182,54,12,0.9914,5.2377,29.8304
183,33,8,0.9913,4.9518,28.5090
184,55,13,0.9913,5.4124,30.6525
185,286,23,0.9912,5.2333,33.9859
186,84,13,0.9912,3.7907,31.4693
187,82,14,0.9911,4.7304,30.1526
188,191,20,0.9911,4.8613,32.8160
189,25,6,0.9910,6.5877,27.7269
190,62,11,0.9910,5.0641,35.5357
191,32,8,0.9909,6.1227,29.8266
192,137,17,0.9909,4.0949,29.5983
193,37,10,0.9908,5.0150,31.0653
194,40,9,0.9908,5.9066,35.2082
195,70,11,0.9907,5.4069,32.9999
196,38,11,0.9907,5.5938,28.8770
197,50,10,0.9906,5.8237,29.0181
198,38,9,0.9906,5.9289,29.5745
199,53,10,0.9905,4.6661,30.2489
200,50,10,0.9905,4.9391,30.7365
201,122,16,0.9905,5.5700,31.1170
202,144,17,0.9904,5.1093,31.4703
203,39,7,0.9904,5.6128,32.6343
204,30,9,0.9903,5.1067,29.6937
205,27,8,0.9903,5.2782,27.5038
206,86,14,0.9902,5.9762,31.5813
207,35,8,0.9902,6.7801,29.1745
208,119,13,0.9901,5.5949,36.8709
209,58,11,0.9901,4.8854,31.6558
210,34,8,0.9900,5.3832,29.4907
211,92,17,0.9900,5.9253,28.5984
212,33,9,0.9899,4.1901,27.5645
213,79,13,0.9899,6.0161,27.9533
214,53,12,0.9898,5.1133,29.2907
215,33,8,0.9898,6.3781,28.2840
216,57,12,0.9897,4.3462,31.9213
217,25,6,0.9897,5.2624,28.8033
218,88,13,0.9896,3.9502,30.4618
219,30,8,0.9896,4.9336,30.3048
220,57,11,0.9896,6.6496,30.7160
221,59,13,0.9895,6.5343,38.4764
222,32,7,0.9895,6.3031,35.7629
223,26,8,0.9894,6.0685,34.1816
