episode,score,steps,epsilon,loss,avg_q
1,41,11,0.9996,0.0000,0.0539
2,96,16,0.9992,0.0000,0.0469
3,50,12,0.9989,7.3239,0.0831
4,42,10,0.9985,6.5469,0.4681
5,35,8,0.9981,5.5627,0.9114
6,57,11,0.9977,5.6532,2.4846
7,37,10,0.9973,4.9887,4.9719
8,54,11,0.9970,4.6098,5.2980
9,44,10,0.9966,3.8725,5.5754
10,43,10,0.9962,3.2311,6.8075
11,30,8,0.9958,3.4751,6.5391
12,112,14,0.9954,3.9109,7.2153
13,31,8,0.9951,4.0284,7.6792
14,75,13,0.9947,4.4008,6.7146
15,37,10,0.9943,3.9897,7.1546
16,54,11,0.9939,4.5842,6.1511
17,23,6,0.9935,3.6295,6.4897
18,54,12,0.9932,4.5765,6.3209
19,29,8,0.9928,4.8619,7.6149
20,116,18,0.9924,4.6525,7.4553
21,34,8,0.9920,4.8584,5.8822
22,75,15,0.9916,3.9898,7.6718
23,35,9,0.9913,3.0799,6.7715
24,33,9,0.9909,5.0115,6.2476
25,57,11,0.9905,4.0677,5.8489
26,55,11,0.9901,4.2286,8.7293
27,55,11,0.9897,3.1648,6.0535
28,85,14,0.9894,3.3564,5.2855
29,49,10,0.9890,4.5155,5.6226
30,61,13,0.9886,2.7361,5.6664
31,33,7,0.9882,3.8463,6.1633
32,33,8,0.9878,4.3883,6.4707
33,43,12,0.9875,3.6666,5.9592
34,37,11,0.9871,3.6562,6.1213
35,55,12,0.9867,3.8670,5.3729
36,37,10,0.9863,3.6503,6.1018
37,34,9,0.9859,4.1199,5.7315
38,42,11,0.9856,3.6067,4.8230
39,65,15,0.9852,4.0207,5.4553
40,45,10,0.9848,3.4358,5.3057
41,125,18,0.9844,3.7660,5.9862
42,167,20,0.9840,3.4486,5.4510
43,126,19,0.9837,3.4697,5.4482
44,28,7,0.9833,4.8882,5.6641
45,34,9,0.9829,4.4643,6.0967
46,90,14,0.9825,3.6581,5.2678
47,32,9,0.9821,4.0155,5.5023
48,57,12,0.9818,5.4695,7.3033
49,53,10,0.9814,3.7033,12.2461
50,30,7,0.9810,5.5486,9.7089
51,35,9,0.9806,4.6708,10.3260
52,74,14,0.9802,4.3825,10.0716
53,60,14,0.9799,4.4272,10.0862
54,39,9,0.9795,4.4741,10.4418
55,55,11,0.9791,3.3559,10.5168
56,30,7,0.9787,4.4440,11.2704
57,31,7,0.9783,4.2925,10.3604
58,28,7,0.9780,4.4976,10.3032
59,100,18,0.9776,3.1530,9.9509
60,70,11,0.9772,4.5596,10.2301
61,41,10,0.9768,4.1514,9.9015
62,23,6,0.9764,3.5218,10.4010
63,61,13,0.9761,4.5190,10.4041
64,67,16,0.9757,3.8405,10.4721
65,37,11,0.9753,4.4380,9.6416
66,66,12,0.9749,4.6219,9.3604
67,37,7,0.9745,3.6727,10.9060
68,58,14,0.9742,4.1307,9.4018
69,53,11,0.9738,3.5346,10.3958
70,38,10,0.9734,4.4114,10.3147
71,36,6,0.9730,3.3420,10.8634
72,34,9,0.9726,3.5539,9.9930
73,33,9,0.9723,3.3240,9.9659
74,60,13,0.9719,3.0335,9.7928
75,54,11,0.9715,3.9799,9.6252
76,86,15,0.9711,3.0689,9.4144
77,35,9,0.9707,3.2439,10.3788
78,62,12,0.9704,3.9704,10.5262
79,185,22,0.9700,3.6828,10.6537
80,181,21,0.9696,3.1189,9.7933
81,35,9,0.9692,3.8978,10.1409
82,37,11,0.9688,3.5954,10.4491
83,38,9,0.9685,4.3586,10.3893
84,41,11,0.9681,4.0305,9.7837
85,45,13,0.9677,3.1428,10.5426
86,46,12,0.9673,2.9934,9.1428
87,195,23,0.9669,3.5593,9.9296
88,35,8,0.9666,3.0651,11.0764
89,41,10,0.9662,3.9332,10.0070
90,95,16,0.9658,3.7383,9.1108
91,41,10,0.9654,4.3052,10.1455
92,37,9,0.9650,5.0549,16.3429
93,36,9,0.9647,5.1900,16.1798
94,35,9,0.9643,5.0420,15.3014
95,80,16,0.9639,2.8089,15.3703
96,31,8,0.9635,3.3723,15.9819
97,86,14,0.9631,3.4942,14.6077
98,35,8,0.9628,4.5450,15.9958
99,40,11,0.9624,4.4388,15.9313
100,38,9,0.9620,4.7725,15.5504
101,32,9,0.9616,5.2181,14.3196
102,24,6,0.9612,3.5057,14.2882
103,79,12,0.9609,4.0693,16.0699
104,35,9,0.9605,4.5371,15.0713
105,46,11,0.9601,4.4376,16.1896
106,56,13,0.9597,4.4603,14.4771
107,38,11,0.9593,4.7582,14.8271
108,136,16,0.9590,3.1323,15.5339
109,84,14,0.9586,2.5907,15.6151
110,40,12,0.9582,3.7306,14.5243
111,103,16,0.9578,3.0221,15.4153
112,54,12,0.9574,4.5950,14.9289
113,90,16,0.9571,3.8350,15.3474
114,58,10,0.9567,3.0841,15.6572
115,163,17,0.9563,3.2611,16.1476
116,38,9,0.9559,4.3737,16.7893
117,36,9,0.9555,4.4993,15.1226
118,26,6,0.9552,3.4396,15.5491
119,111,17,0.9548,3.7013,14.8013
120,75,15,0.9544,3.9688,14.2501
121,86,14,0.9540,3.5988,16.7908
122,33,9,0.9536,3.9213,16.0353
123,36,10,0.9533,3.5654,15.1580
124,56,11,0.9529,3.5055,15.9135
125,130,18,0.9525,4.3231,14.9733
126,40,10,0.9521,4.9201,15.3685
127,47,11,0.9517,2.8447,15.1405
128,42,11,0.9514,4.4417,14.7440
129,85,12,0.9510,2.9259,14.8752
130,231,19,0.9506,4.4231,15.1720
131,59,13,0.9502,3.5760,14.9915
132,57,11,0.9498,3.1986,15.3903
133,47,11,0.9495,4.0741,14.6004
134,33,8,0.9491,5.0787,16.9946
135,39,12,0.9487,6.4584,21.8722
136,28,7,0.9483,5.3074,20.0690
137,25,6,0.9479,6.2999,22.3307
138,160,19,0.9476,4.5182,21.6363
139,54,13,0.9472,3.8373,21.1885
140,77,12,0.9468,5.1171,21.0018
141,46,9,0.9464,3.1211,22.2785
142,30,6,0.9460,4.3667,22.4691
143,36,10,0.9457,4.9794,21.7598
144,42,11,0.9453,4.2420,20.8522
145,58,10,0.9449,5.9048,21.7962
146,46,13,0.9445,4.2865,20.8964
147,37,10,0.9441,3.7858,21.4123
148,31,9,0.9438,4.4384,20.6152
149,33,9,0.9434,3.7336,20.6244
150,37,10,0.9430,4.7831,21.3786
151,32,8,0.9426,3.5527,22.2026
152,80,13,0.9422,3.6136,20.5144
153,62,14,0.9419,3.9166,21.8171
154,36,10,0.9415,4.0833,21.6919
155,55,10,0.9411,5.1747,21.8856
156,34,7,0.9407,4.8906,23.2240
157,53,11,0.9403,3.4837,22.5477
158,33,7,0.9400,5.4725,21.1567
159,173,21,0.9396,4.2706,20.3888
160,82,13,0.9392,5.8934,19.7110
161,38,10,0.9388,4.1280,21.7611
162,34,9,0.9384,3.2913,21.7954
163,217,18,0.9381,4.8092,21.8700
164,224,17,0.9377,3.9472,21.7281
165,38,11,0.9373,4.2014,21.1818
166,40,11,0.9369,4.0564,20.8280
167,37,10,0.9365,3.5047,20.9737
168,44,10,0.9362,4.3275,21.8287
169,38,9,0.9358,3.9642,21.9550
170,56,10,0.9354,4.0554,21.6629
171,27,7,0.9350,3.6025,23.1337
172,85,15,0.9346,3.6694,21.4829
173,31,8,0.9343,2.5120,21.5683
174,299,22,0.9339,5.2893,20.1217
175,57,10,0.9335,4.6496,22.7228
176,57,11,0.9331,4.0366,21.0712
177,36,8,0.9327,3.2926,21.6190
178,38,11,0.9324,4.6001,23.1440
179,61,14,0.9320,5.3406,19.3519
180,54,11,0.9316,6.3723,29.5597
181,87,16,0.9312,5.4434,26.0420
182,44,12,0.9308,5.0058,26.9529
183,141,18,0.9305,5.9454,27.7503
184,39,10,0.9301,4.8579,26.7491
185,38,10,0.9297,5.9538,28.8620
186,76,16,0.9293,4.1807,27.3914
187,41,11,0.9289,5.1367,25.1162
188,54,11,0.9286,6.1289,29.3953
189,45,11,0.9282,5.6510,27.4939
190,40,11,0.9278,4.6959,27.2722
191,50,10,0.9274,4.7467,26.7759
192,32,8,0.9270,5.8307,25.6834
193,26,6,0.9267,4.5791,27.8280
194,32,8,0.9263,4.2225,25.5210
195,30,7,0.9259,5.7825,26.1559
196,95,18,0.9255,4.4194,27.6424
197,61,10,0.9251,5.3110,29.3069
198,56,11,0.9248,5.0507,26.2474
199,54,12,0.9244,4.3645,24.8563
200,83,13,0.9240,4.1623,26.1773
201,38,9,0.9236,4.8460,28.0706
202,77,11,0.9232,5.3778,27.8082
203,40,10,0.9229,5.4165,25.7834
204,43,11,0.9225,5.4091,26.3190
205,54,11,0.9221,4.8988,27.9295
206,32,9,0.9217,5.3165,27.0672
207,43,8,0.9213,5.4833,32.0349
208,207,23,0.9210,4.4633,25.9802
209,57,12,0.9206,5.7197,24.7293
210,34,8,0.9202,4.5533,26.8593
211,86,13,0.9198,4.3382,25.2970
212,37,9,0.9194,4.8361,27.6614
213,140,19,0.9191,5.2185,26.9760
214,43,11,0.9187,4.5451,27.2446
215,214,25,0.9183,3.8998,24.1697
216,55,12,0.9179,4.6079,24.2618
217,57,12,0.9175,5.0249,26.2850
218,25,6,0.9172,3.9304,28.3209
219,63,12,0.9168,4.0638,27.0324
220,40,8,0.9164,4.6938,27.3714
221,85,13,0.9160,4.7698,26.4366
222,62,14,0.9156,5.4357,31.3877
223,39,10,0.9153,7.2197,36.0174
224,120,18,0.9149,7.0592,33.2462
225,156,15,0.9145,5.4400,32.8432
226,153,17,0.9141,6.0618,32.6853
227,70,13,0.9137,6.0086,34.1982
228,80,13,0.9134,5.5360,35.2252
229,46,10,0.9130,4.8933,34.1842
230,43,11,0.9126,6.1293,32.6154
231,41,10,0.9122,5.5316,34.8213
232,43,12,0.9118,7.6206,32.6289
233,33,8,0.9115,5.5879,36.0705
234,157,20,0.9111,5.4272,31.3913
235,114,16,0.9107,4.7625,34.9244
236,35,8,0.9103,4.1860,37.8825
237,41,11,0.9099,4.4764,34.0976
238,35,12,0.9096,6.7246,34.0078
239,76,13,0.9092,5.3746,34.0223
240,39,9,0.9088,5.3856,34.4809
241,56,12,0.9084,5.6215,33.7478
242,57,14,0.9080,5.3296,34.4880
243,74,12,0.9077,5.5853,32.9300
244,187,19,0.9073,5.9932,37.1688
245,81,13,0.9069,5.6617,32.5370
246,35,7,0.9065,5.0566,36.0053
247,43,9,0.9061,5.1381,36.5821
248,78,11,0.9058,6.4115,36.0751
249,33,8,0.9054,4.7418,35.5658
250,41,11,0.9050,6.7788,32.1975
251,41,10,0.9046,6.1989,33.8111
252,56,12,0.9042,5.8162,35.2522
253,38,11,0.9039,5.1370,30.2605
254,57,12,0.9035,6.2551,31.8062
255,60,12,0.9031,7.5434,33.2322
256,30,8,0.9027,5.6515,36.5445
257,68,12,0.9023,4.8455,33.7996
258,250,22,0.9020,5.1993,35.3858
259,43,11,0.9016,5.7697,32.6016
260,26,5,0.9012,7.8739,34.2179
261,56,11,0.9008,6.4358,32.4521
262,38,8,0.9004,5.2743,36.0051
263,68,9,0.9001,5.0232,33.8618
264,172,18,0.8997,7.3552,41.4497
265,81,12,0.8993,6.8005,34.5257
266,74,13,0.8989,6.8684,42.6817
267,31,8,0.8985,7.6353,37.5424
268,29,7,0.8982,5.4389,40.8569
269,28,7,0.8978,7.0953,39.3955
270,40,8,0.8974,5.8892,43.3039
271,176,19,0.8970,5.9991,41.2778
272,24,7,0.8966,6.2714,38.7914
273,184,20,0.8963,6.0443,38.3957
274,53,10,0.8959,4.7181,40.4950
275,33,8,0.8955,6.4800,43.8867
276,36,9,0.8951,9.0686,40.2560
277,74,12,0.8947,5.6152,41.3941
278,60,13,0.8944,6.9125,40.6392
279,31,8,0.8940,6.1699,39.9297
280,38,7,0.8936,5.4414,39.9895
281,28,8,0.8932,6.9712,42.6138
282,64,14,0.8928,5.5955,39.0197
283,38,9,0.8925,7.1091,39.3935
284,67,12,0.8921,7.8515,39.4113
285,33,9,0.8917,5.4947,39.5445
286,33,8,0.8913,7.4246,43.4904
287,30,7,0.8909,8.1418,40.1348
288,75,14,0.8906,7.0005,40.6518
289,41,10,0.8902,6.5853,39.1128
290,40,10,0.8898,5.7875,39.6659
291,55,12,0.8894,7.9227,38.9026
292,39,9,0.8890,7.4847,37.8064
293,105,16,0.8887,5.9080,39.9788
294,44,12,0.8883,5.8327,41.0002
295,64,15,0.8879,5.3153,38.9140
296,40,11,0.8875,5.9488,38.5471
297,55,11,0.8871,5.4526,39.1229
298,32,7,0.8868,5.9546,44.9848
299,29,6,0.8864,6.4747,43.3808
300,37,9,0.8860,6.9371,41.5070
301,43,12,0.8856,6.3303,38.1356
302,74,13,0.8852,6.1700,40.3715
303,31,8,0.8849,5.7690,40.9550
304,55,11,0.8845,4.3890,41.8409
305,54,9,0.8841,6.1727,44.9100
306,42,10,0.8837,7.9192,39.7673
307,57,10,0.8833,6.9515,44.4925
308,49,9,0.8830,6.6996,39.0961
309,32,8,0.8826,4.7476,38.4575
310,50,10,0.8822,6.3673,37.4049
311,42,11,0.8818,7.3388,39.2883
312,42,10,0.8814,7.0374,47.9656
313,37,9,0.8811,7.6696,45.4586
314,32,8,0.8807,6.1828,44.3077
315,41,12,0.8803,6.3210,43.0276
316,52,11,0.8799,7.3522,48.0647
317,43,10,0.8795,6.9289,45.4927
318,29,7,0.8792,7.5166,46.5343
319,127,18,0.8788,5.7495,47.9719
320,120,16,0.8784,6.9144,48.6419
321,47,13,0.8780,5.7618,42.9189
322,175,21,0.8776,6.7370,45.7468
323,38,10,0.8773,6.2790,47.0256
324,36,11,0.8769,7.5690,42.3417
325,57,11,0.8765,7.3378,45.0702
326,73,13,0.8761,5.9350,45.5230
327,87,14,0.8757,6.5381,44.4758
328,57,12,0.8754,6.9832,46.8397
329,70,14,0.8750,6.6996,48.5396
330,55,13,0.8746,5.7834,46.7243
331,92,18,0.8742,7.3315,51.5529
332,43,10,0.8738,7.2744,49.4280
333,96,17,0.8735,6.8010,50.1330
334,36,9,0.8731,7.7501,45.9391
335,53,12,0.8727,6.6828,45.2978
336,66,11,0.8723,5.5898,44.8798
337,33,7,0.8719,6.5325,47.4255
338,36,9,0.8716,5.7715,45.2772
339,76,11,0.8712,5.3037,44.9470
340,117,15,0.8708,7.4155,45.4149
341,35,9,0.8704,7.1936,49.8213
342,40,10,0.8700,6.1920,44.3996
343,58,13,0.8697,6.2674,48.0837
344,27,8,0.8693,5.7541,42.5079
345,196,19,0.8689,5.8970,46.3353
346,55,10,0.8685,6.8214,45.4823
347,65,13,0.8681,7.8419,45.0700
348,91,15,0.8678,6.3247,43.3074
349,75,15,0.8674,6.3227,47.7821
350,35,9,0.8670,8.0710,43.7269
351,35,10,0.8666,5.6768,44.1601
352,55,11,0.8662,6.6794,44.4094
353,63,15,0.8659,7.8599,48.0424
354,30,8,0.8655,6.4657,55.5823
355,32,8,0.8651,7.8483,54.3893
356,83,14,0.8647,7.3279,46.8290
357,47,9,0.8643,7.3747,54.2815
358,38,8,0.8640,6.6267,51.9360
359,42,10,0.8636,7.8705,54.1624
360,103,18,0.8632,7.5795,52.7654
361,38,11,0.8628,7.9090,51.5300
362,39,11,0.8624,7.3688,49.8832
363,50,11,0.8621,7.7486,57.1291
364,116,15,0.8617,7.1208,50.8642
365,80,15,0.8613,7.6063,49.7488
366,56,11,0.8609,6.6373,49.1533
367,41,9,0.8605,7.0629,52.0442
368,39,10,0.8602,6.4028,52.7745
369,37,9,0.8598,6.6930,57.4724
370,46,13,0.8594,7.8169,53.9195
371,32,8,0.8590,6.3449,52.9092
372,38,9,0.8586,9.1184,52.6488
373,131,19,0.8583,7.9470,49.0038
374,71,13,0.8579,7.9601,50.0917
375,67,12,0.8575,7.4857,56.6593
376,40,10,0.8571,5.0977,56.8630
377,33,8,0.8567,7.7438,51.9137
378,78,13,0.8564,9.5070,49.1669
379,70,12,0.8560,7.0390,54.4780
380,97,13,0.8556,5.9898,52.3473
381,60,12,0.8552,7.5251,50.4565
382,79,13,0.8548,6.4156,50.5535
383,74,14,0.8545,5.8970,53.1397
384,131,17,0.8541,7.2250,53.2127
385,63,14,0.8537,7.8811,51.2371
386,33,9,0.8533,6.4481,54.8926
387,78,12,0.8529,7.0628,48.6839
388,52,10,0.8526,7.3608,53.0777
389,25,6,0.8522,7.6736,52.3915
390,43,11,0.8518,7.4540,53.9928
391,56,12,0.8514,6.2367,50.3949
392,56,12,0.8510,7.5562,53.6090
393,296,33,0.8507,7.0650,51.5548
394,31,9,0.8503,10.5442,51.0258
395,27,7,0.8499,7.3900,60.8718
396,39,10,0.8495,8.4087,56.9945
397,101,17,0.8491,6.1646,59.9607
398,220,17,0.8488,6.3691,58.3734
399,29,8,0.8484,7.2714,55.7292
400,38,10,0.8480,7.3259,59.9941
401,49,10,0.8476,6.7053,60.3708
402,54,10,0.8472,7.1938,54.6875
403,32,8,0.8469,7.3746,58.4107
404,169,16,0.8465,6.6826,61.6920
405,31,7,0.8461,7.0271,61.3716
406,26,6,0.8457,6.3442,60.1762
407,80,13,0.8453,6.4312,60.5407
408,38,10,0.8450,7.2306,55.7183
409,37,9,0.8446,5.9153,62.3364
410,53,13,0.8442,7.6397,58.0728
411,54,12,0.8438,7.0237,51.8158
412,57,11,0.8434,6.9083,61.7308
413,36,9,0.8431,6.6656,60.5411
414,26,8,0.8427,7.8855,60.5765
415,44,9,0.8423,7.0462,61.3684
416,199,25,0.8419,7.7591,60.9217
417,62,14,0.8415,6.6749,51.6895
418,30,7,0.8412,6.3095,59.5026
419,60,12,0.8408,8.4740,59.1008
420,36,8,0.8404,8.7547,61.5028
421,55,12,0.8400,8.0522,58.9505
422,56,11,0.8396,8.9837,59.9367
423,43,13,0.8393,7.3856,55.3384
424,58,11,0.8389,8.8858,55.4626
425,54,12,0.8385,8.1504,60.5345
426,37,7,0.8381,8.4567,55.3622
427,50,9,0.8377,9.3783,56.8015
428,85,14,0.8374,7.2255,62.3920
429,42,10,0.8370,6.7912,59.3472
430,59,13,0.8366,6.7321,54.2342
431,172,18,0.8362,6.0684,49.1789
432,106,14,0.8358,7.6575,60.8571
433,55,11,0.8355,7.9328,63.6092
434,29,7,0.8351,7.1855,60.6437
435,57,12,0.8347,8.4556,58.2565
436,40,9,0.8343,6.9413,61.9534
437,77,15,0.8339,5.6509,62.2935
438,57,11,0.8336,6.7849,67.8180
439,162,16,0.8332,7.0937,66.4575
440,52,11,0.8328,8.4423,66.1989
441,26,6,0.8324,7.1733,69.1195
442,44,10,0.8320,7.3436,68.9277
443,43,11,0.8317,7.8375,65.7262
444,62,14,0.8313,8.3709,57.6341
445,29,9,0.8309,9.2630,64.0283
446,40,10,0.8305,9.5326,62.6705
447,53,9,0.8301,7.5641,69.4615
448,95,16,0.8298,9.0472,67.5826
449,63,12,0.8294,7.8128,66.5057
450,36,9,0.8290,8.0296,64.3356
451,58,12,0.8286,8.2845,63.7419
452,41,10,0.8282,9.2608,69.0010
453,38,10,0.8279,7.2480,64.5315
454,129,18,0.8275,7.6073,72.2385
455,33,8,0.8271,7.8963,63.2129
456,55,14,0.8267,7.1529,64.3140
457,45,9,0.8263,8.9415,62.4564
458,56,12,0.8260,8.3451,64.2593
459,106,15,0.8256,7.3950,63.2299
460,31,9,0.8252,8.2897,66.4544
461,33,8,0.8248,9.6624,69.0665
462,56,13,0.8244,6.8238,60.4862
463,147,19,0.8241,7.4682,59.6214
464,133,17,0.8237,7.6090,54.5274
465,30,7,0.8233,10.2343,63.6741
466,50,11,0.8229,7.4216,65.3180
467,49,12,0.8225,7.8100,63.8012
468,38,9,0.8222,10.3581,63.6814
469,71,12,0.8218,8.7405,64.8102
470,43,12,0.8214,5.2544,61.1566
471,87,16,0.8210,9.7116,62.4047
472,78,11,0.8206,6.3761,68.0047
473,39,11,0.8203,7.1628,64.1540
474,61,13,0.8199,8.3242,61.2583
475,106,16,0.8195,8.4870,65.3559
476,41,10,0.8191,8.4484,63.2566
477,20,5,0.8187,11.1025,63.4605
478,50,10,0.8184,7.1146,59.0752
479,62,14,0.8180,6.8086,59.7883
480,41,10,0.8176,8.8661,61.0150
481,30,8,0.8172,8.8369,66.9304
482,33,9,0.8168,8.3547,63.1659
483,82,12,0.8165,11.3681,71.1735
484,44,11,0.8161,9.6343,63.2611
485,39,11,0.8157,11.1945,70.6169
486,56,13,0.8153,10.1049,63.2013
487,41,10,0.8149,10.1819,73.0075
488,32,8,0.8146,10.4140,77.4517
489,36,8,0.8142,9.7955,68.5157
490,240,22,0.8138,8.3606,69.0178
491,76,14,0.8134,8.4600,65.8002
492,35,10,0.8130,10.6203,68.5959
493,38,8,0.8127,7.2325,72.7727
494,34,10,0.8123,8.7747,67.0920
495,91,15,0.8119,9.1887,66.9355
496,54,11,0.8115,9.8044,65.6398
497,40,10,0.8111,9.1665,68.6587
498,42,12,0.8108,8.2184,71.9607
499,44,11,0.8104,9.3076,67.4695
500,35,10,0.8100,8.2513,65.6002
501,36,9,0.8096,8.4309,69.3826
502,39,10,0.8092,7.4026,72.7602
503,34,9,0.8089,8.6289,70.7271
504,39,9,0.8085,8.8004,66.9134
505,82,13,0.8081,8.6491,66.1706
506,40,11,0.8077,7.6125,71.9410
507,41,10,0.8073,8.3229,65.0026
508,52,10,0.8070,8.7265,65.5584
509,53,12,0.8066,8.5073,70.7237
510,48,11,0.8062,7.7754,70.1848
511,43,10,0.8058,9.4683,65.0275
512,165,16,0.8054,8.1953,64.6078
513,56,12,0.8051,9.0970,70.8131
514,38,10,0.8047,8.2935,70.3515
515,33,8,0.8043,6.8538,69.0192
516,74,14,0.8039,9.0345,70.4197
517,85,12,0.8035,8.0854,65.6135
518,57,11,0.8032,9.1492,67.7303
519,99,14,0.8028,9.7959,68.0419
520,42,12,0.8024,9.3870,69.7698
521,135,18,0.8020,9.7102,66.9208
522,36,8,0.8016,7.5250,71.1922
523,61,12,0.8013,8.0962,67.1041
524,54,11,0.8009,7.6210,67.0122
525,34,7,0.8005,8.9681,62.7253
526,40,9,0.8001,9.3023,73.9950
527,102,14,0.7997,8.9621,68.6413
528,35,10,0.7994,9.4071,71.6715
529,31,8,0.7990,8.1864,79.6230
530,107,17,0.7986,8.7637,70.5173
531,65,12,0.7982,9.5915,74.4395
532,127,18,0.7978,7.7525,76.3238
533,54,11,0.7975,6.6505,76.0205
534,45,8,0.7971,7.7880,78.2737
535,74,10,0.7967,6.6455,75.2355
536,94,15,0.7963,7.5962,73.2754
537,28,8,0.7959,10.4618,78.8863
538,63,12,0.7956,8.9313,73.4500
539,44,8,0.7952,5.7533,75.0029
540,33,9,0.7948,6.5538,73.6015
541,37,9,0.7944,8.2259,73.6010
542,76,14,0.7940,10.2472,77.4049
543,44,11,0.7937,9.4170,65.3988
544,40,12,0.7933,10.3081,71.8006
545,52,9,0.7929,9.7081,67.9472
546,26,7,0.7925,7.9248,74.9954
547,117,18,0.7921,8.8598,68.6396
548,77,10,0.7918,9.3245,77.9430
549,89,15,0.7914,9.9958,73.1650
550,44,12,0.7910,8.6580,73.3756
551,74,13,0.7906,7.2441,76.2331
552,55,11,0.7902,9.6110,74.4064
553,52,13,0.7899,8.7964,75.2504
554,77,16,0.7895,7.9205,71.6020
555,44,10,0.7891,8.9938,71.3983
556,24,6,0.7887,9.3913,76.7769
557,135,20,0.7883,8.3860,73.0415
558,100,17,0.7880,10.2181,73.7137
559,41,9,0.7876,7.2001,75.7817
560,61,12,0.7872,7.7371,74.6434
561,44,8,0.7868,11.6826,72.5477
562,40,10,0.7864,7.7190,70.6688
563,54,11,0.7861,8.9116,75.2983
564,39,10,0.7857,7.8266,74.6727
565,35,8,0.7853,10.2631,66.7871
566,38,9,0.7849,5.9674,78.3361
567,29,7,0.7845,7.2376,73.9543
568,90,14,0.7842,8.1005,63.7698
569,60,14,0.7838,9.2702,70.1573
570,65,12,0.7834,8.7924,66.2747
571,49,10,0.7830,12.2406,87.2558
572,54,10,0.7826,11.5322,75.6023
573,35,8,0.7823,10.2874,84.3094
574,41,10,0.7819,8.7002,75.7180
575,59,14,0.7815,9.9469,81.7084
576,34,9,0.7811,8.0469,84.3801
577,87,16,0.7807,8.5246,81.6180
578,32,9,0.7804,6.9336,79.1275
579,38,9,0.7800,11.2238,79.4105
580,33,8,0.7796,9.5098,80.6225
581,79,13,0.7792,10.1042,73.3248
582,36,7,0.7788,10.8781,81.5888
583,55,13,0.7785,11.7295,80.1052
584,33,8,0.7781,8.3136,76.7163
585,40,10,0.7777,10.9220,73.7422
586,76,14,0.7773,8.5451,83.8705
587,60,12,0.7769,9.5042,78.8436
588,35,8,0.7766,8.1807,80.0435
589,37,9,0.7762,9.4544,81.2462
590,36,8,0.7758,10.6454,77.0440
591,38,10,0.7754,7.8688,76.9515
592,28,8,0.7750,7.1544,77.5721
593,47,9,0.7747,9.5130,79.9491
594,38,10,0.7743,9.3634,79.1471
595,91,16,0.7739,11.2305,79.2652
596,50,11,0.7735,9.8568,82.6356
597,57,12,0.7731,10.9126,82.6537
598,107,16,0.7728,8.6093,77.2693
599,37,11,0.7724,9.2909,77.8291
600,40,10,0.7720,7.3069,79.4530
601,42,11,0.7716,8.8844,77.7502
602,37,7,0.7712,7.9101,77.7991
603,56,10,0.7709,8.2973,76.4283
604,35,9,0.7705,9.5656,81.2447
605,77,13,0.7701,9.6363,83.2761
606,222,23,0.7697,10.1408,63.8337
607,79,16,0.7693,9.8587,88.3726
608,73,15,0.7690,8.9815,77.7570
609,54,12,0.7686,9.7533,85.7415
610,44,11,0.7682,8.8779,77.7538
611,81,13,0.7678,8.7179,81.6004
612,79,15,0.7674,9.9649,82.4688
613,38,11,0.7671,11.1070,77.4489
614,89,16,0.7667,9.8939,80.7586
615,73,15,0.7663,9.5866,89.7830
616,79,16,0.7659,9.0548,85.5906
617,34,9,0.7655,11.1315,82.9949
618,89,18,0.7652,10.9178,81.5010
619,43,11,0.7648,9.8570,81.6365
620,37,10,0.7644,9.3096,83.5380
621,40,10,0.7640,9.1818,84.6610
622,50,11,0.7636,10.4267,81.8946
623,60,14,0.7633,9.4347,82.2403
624,37,9,0.7629,9.8083,87.2772
625,41,10,0.7625,7.6696,82.8733
626,176,20,0.7621,8.2741,76.6184
627,94,16,0.7617,9.1155,81.2115
628,57,11,0.7614,9.5956,82.2956
629,41,9,0.7610,9.0111,78.6132
630,61,15,0.7606,9.0862,83.7272
631,39,11,0.7602,10.2391,89.6983
632,76,11,0.7598,9.1019,80.4840
633,36,8,0.7595,12.1030,91.3190
634,54,12,0.7591,7.0336,81.7600
635,40,11,0.7587,10.6752,85.9537
636,36,9,0.7583,11.2525,88.2720
637,31,7,0.7579,9.3556,90.4563
638,59,13,0.7576,9.7425,87.2201
639,45,13,0.7572,8.8536,87.2864
640,74,16,0.7568,8.0221,78.0710
641,36,10,0.7564,9.3243,86.5922
642,33,8,0.7560,9.1558,73.4713
643,80,11,0.7557,8.7774,82.4178
644,28,8,0.7553,8.7930,88.2582
645,36,8,0.7549,7.8082,90.1535
646,56,11,0.7545,10.1323,80.2290
647,40,10,0.7541,11.6911,90.1959
648,90,15,0.7538,8.8551,81.1419
649,33,8,0.7534,10.0879,89.4256
650,37,10,0.7530,9.1947,89.6790
651,32,8,0.7526,9.3162,84.2597
652,44,12,0.7522,8.8031,71.9908
653,57,11,0.7519,9.3498,85.9235
654,87,12,0.7515,10.0665,81.3488
655,57,12,0.7511,5.7040,87.8541
656,133,18,0.7507,9.7155,83.0905
657,29,7,0.7503,11.1920,87.1630
658,46,12,0.7500,10.2529,91.1885
659,106,16,0.7496,10.5128,86.6680
660,54,10,0.7492,12.4984,90.9177
661,34,8,0.7488,9.3383,91.1153
662,79,14,0.7484,9.5879,92.1333
663,41,10,0.7481,12.0543,93.6472
664,51,9,0.7477,8.1803,94.3025
