episode,score,steps,epsilon,lr,beta,loss,avg_v,grad_norm,clear_frac
76,39,10,0.9544,0.00004886,0.0000,4.0492,12.8986,0.0000,0.9094
77,39,10,0.9538,0.00004885,0.0000,4.4644,13.2407,0.0000,0.9156
78,61,12,0.9532,0.00004883,0.0000,4.4012,14.8201,0.0000,0.9089
79,45,12,0.9526,0.00004881,0.0000,3.9774,18.7071,0.0000,0.9167
80,35,9,0.9520,0.00004880,0.0000,3.6489,11.6707,0.0000,0.9271
81,35,9,0.9514,0.00004879,0.0000,4.6230,11.3791,0.0000,0.9132
82,85,14,0.9508,0.00004877,0.0000,4.0142,15.8358,0.0000,0.9263
83,63,15,0.9502,0.00004876,0.0000,4.6682,13.6163,0.0000,0.9125
84,36,9,0.9496,0.00004874,0.0000,2.7743,13.0945,0.0000,0.9375
85,98,14,0.9490,0.00004873,0.0000,3.5803,20.1059,0.0000,0.9330
86,41,10,0.9484,0.00004871,0.0000,3.1666,11.5003,0.0000,0.9531
87,37,10,0.9478,0.00004870,0.0000,4.2192,13.7563,0.0000,0.9406
88,57,11,0.9472,0.00004868,0.0000,3.5487,15.4452,0.0000,0.9205
89,84,13,0.9466,0.00004867,0.0000,3.2382,15.4618,0.0000,0.9255
90,113,13,0.9460,0.00004865,0.0000,3.5415,17.3752,0.0000,0.9447
91,40,10,0.9454,0.00004864,0.0000,4.0300,14.3006,0.0000,0.9313
92,79,13,0.9448,0.00004862,0.0000,3.8008,18.0268,0.0000,0.9207
93,36,9,0.9442,0.00004860,0.0000,6.4625,16.6964,0.0000,0.9132
94,61,13,0.9436,0.00004859,0.0000,4.3601,18.1391,0.0000,0.9399
95,35,9,0.9430,0.00004858,0.0000,3.2054,16.4182,0.0000,0.9410
96,32,8,0.9424,0.00004856,0.0000,4.5077,16.6267,0.0000,0.9141
97,24,6,0.9418,0.00004855,0.0000,3.8492,17.5709,0.0000,0.9427
98,41,11,0.9412,0.00004853,0.0000,4.4553,17.6573,0.0000,0.9119
99,56,12,0.9406,0.00004852,0.0000,4.0866,18.0907,0.0000,0.9219
100,34,8,0.9400,0.00004850,0.0000,5.0716,16.7592,0.0000,0.9258
101,33,9,0.9394,0.00004849,0.0000,5.1116,16.0376,0.0000,0.8958
102,65,16,0.9388,0.00004847,0.0000,4.6482,17.9742,0.0000,0.9082
103,39,10,0.9382,0.00004846,0.0000,4.6713,15.6654,0.0000,0.9219
104,36,9,0.9376,0.00004844,0.0000,4.6999,17.1271,0.0000,0.9132
105,35,9,0.9370,0.00004843,0.0000,4.6085,15.6103,0.0000,0.9375
106,36,9,0.9364,0.00004841,0.0000,4.2002,15.5260,0.0000,0.9167
107,30,8,0.9358,0.00004839,0.0000,3.3301,18.3262,0.0000,0.9453
108,219,20,0.9352,0.00004838,0.0000,3.7284,32.1321,0.0000,0.9281
109,36,10,0.9346,0.00004837,0.0000,3.1018,16.7760,0.0000,0.9344
110,83,12,0.9340,0.00004835,0.0000,5.3429,22.8481,0.0000,0.9141
111,57,12,0.9334,0.00004834,0.0000,4.3826,18.5664,0.0000,0.9245
112,56,13,0.9328,0.00004832,0.0000,3.1959,21.0307,0.0000,0.9399
113,58,11,0.9322,0.00004830,0.0000,4.0540,22.4062,0.0000,0.9233
114,104,16,0.9316,0.00004829,0.0000,4.3237,20.2601,0.0000,0.9395
115,24,7,0.9310,0.00004828,0.0000,3.7656,16.9122,0.0000,0.9330
116,37,8,0.9304,0.00004826,0.0000,4.9250,20.9329,0.0000,0.9023
117,51,10,0.9298,0.00004825,0.0000,4.1767,20.6526,0.0000,0.9219
118,55,10,0.9292,0.00004823,0.0000,3.7120,22.8734,0.0000,0.9469
119,68,12,0.9286,0.00004822,0.0000,4.4361,18.6806,0.0000,0.9401
120,82,13,0.9280,0.00004820,0.0000,3.9648,18.2590,0.0000,0.9327
121,88,14,0.9274,0.00004819,0.0000,4.0124,21.5240,0.0000,0.9263
122,36,9,0.9268,0.00004817,0.0000,4.6608,17.7425,0.0000,0.9201
123,48,10,0.9262,0.00004816,0.0000,3.9168,18.2097,0.0000,0.9344
124,63,11,0.9256,0.00004814,0.0000,4.2539,22.6716,0.0000,0.9403
125,176,19,0.9250,0.00004813,0.0000,4.5179,25.0951,0.0000,0.9309
126,58,12,0.9244,0.00004811,0.0000,5.4500,19.2517,0.0000,0.9010
127,51,11,0.9238,0.00004809,0.0000,3.4155,18.8196,0.0000,0.9403
128,56,13,0.9232,0.00004808,0.0000,4.1778,16.3911,0.0000,0.9135
129,35,9,0.9226,0.00004807,0.0000,3.7286,15.7821,0.0000,0.9340
130,109,18,0.9220,0.00004805,0.0000,3.7656,19.2650,0.0000,0.9358
131,58,13,0.9214,0.00004804,0.0000,3.6987,16.3597,0.0000,0.9303
132,41,11,0.9208,0.00004802,0.0000,3.8673,18.2873,0.0000,0.9318
133,20,5,0.9202,0.00004800,0.0000,4.7713,17.5523,0.0000,0.9187
134,57,10,0.9196,0.00004799,0.0000,4.1059,23.9010,0.0000,0.9375
135,104,17,0.9190,0.00004798,0.0000,4.6736,18.4398,0.0000,0.9118
136,39,10,0.9184,0.00004796,0.0000,2.9443,18.0638,0.0000,0.9563
137,101,15,0.9178,0.00004795,0.0000,5.2683,25.2328,0.0000,0.9229
138,39,9,0.9172,0.00004793,0.0000,4.5660,21.2196,0.0000,0.9236
139,41,12,0.9166,0.00004792,0.0000,5.2750,18.7582,0.0000,0.9141
140,54,12,0.9160,0.00004790,0.0000,4.8455,21.5821,0.0000,0.9401
141,230,22,0.9154,0.00004788,0.0000,4.0327,31.5805,0.0000,0.9474
142,41,11,0.9148,0.00004787,0.0000,2.6172,20.4658,0.0000,0.9631
143,43,11,0.9142,0.00004786,0.0000,4.4017,19.9351,0.0000,0.9290
144,41,10,0.9136,0.00004784,0.0000,3.6167,23.4470,0.0000,0.9437
145,33,9,0.9130,0.00004783,0.0000,5.4591,21.0000,0.0000,0.9167
146,82,16,0.9124,0.00004781,0.0000,4.6064,23.6648,0.0000,0.9180
147,57,12,0.9118,0.00004779,0.0000,3.8801,21.2346,0.0000,0.9505
148,50,11,0.9112,0.00004778,0.0000,4.1866,20.6955,0.0000,0.9347
149,108,17,0.9106,0.00004777,0.0000,3.6921,25.4116,0.0000,0.9485
150,37,8,0.9100,0.00004775,0.0000,5.0200,24.0853,0.0000,0.9336
151,59,11,0.9094,0.00004774,0.0000,5.3857,25.0095,0.0000,0.9091
152,54,11,0.9088,0.00004772,0.0000,4.5720,24.4117,0.0000,0.9318
153,71,10,0.9082,0.00004771,0.0000,3.9348,25.7591,0.0000,0.9375
154,27,7,0.9076,0.00004769,0.0000,3.4510,20.8510,0.0000,0.9554
155,409,27,0.9070,0.00004768,0.0000,3.8963,39.9174,0.0000,0.9502
156,39,9,0.9064,0.00004766,0.0000,3.5941,20.8879,0.0000,0.9514
157,40,10,0.9058,0.00004765,0.0000,6.2731,21.2169,0.0000,0.8938
158,76,14,0.9052,0.00004763,0.0000,4.1761,25.6068,0.0000,0.9487
159,41,10,0.9046,0.00004762,0.0000,2.6008,22.2558,0.0000,0.9469
160,38,8,0.9040,0.00004760,0.0000,5.0176,23.4543,0.0000,0.9219
161,115,17,0.9034,0.00004758,0.0000,5.1698,25.8828,0.0000,0.9412
162,115,17,0.9028,0.00004757,0.0000,4.7155,24.6298,0.0000,0.9265
163,121,15,0.9022,0.00004756,0.0000,4.9019,29.8532,0.0000,0.9479
164,31,8,0.9016,0.00004754,0.0000,4.7031,20.7541,0.0000,0.9062
165,40,10,0.9010,0.00004753,0.0000,4.7024,23.1000,0.0000,0.9062
166,35,8,0.9004,0.00004751,0.0000,3.9884,22.6892,0.0000,0.9258
167,52,11,0.8998,0.00004750,0.0000,3.2077,26.3830,0.0000,0.9460
168,54,11,0.8992,0.00004748,0.0000,3.3974,25.2615,0.0000,0.9432
169,63,13,0.8986,0.00004747,0.0000,4.5268,22.2549,0.0000,0.9303
170,44,9,0.8980,0.00004745,0.0000,4.7498,24.6418,0.0000,0.9028
171,69,13,0.8974,0.00004744,0.0000,4.7307,22.1110,0.0000,0.9327
172,61,12,0.8968,0.00004742,0.0000,5.1075,22.0894,0.0000,0.9141
173,39,10,0.8962,0.00004741,0.0000,3.8867,20.6060,0.0000,0.9406
174,38,10,0.8956,0.00004739,0.0000,5.3356,24.4895,0.0000,0.9156
175,119,13,0.8950,0.00004737,0.0000,4.0439,28.9383,0.0000,0.9423
176,122,16,0.8944,0.00004736,0.0000,5.0796,29.2902,0.0000,0.9316
177,46,11,0.8938,0.00004735,0.0000,5.1189,22.5773,0.0000,0.9205
178,127,16,0.8932,0.00004733,0.0000,5.1522,29.2533,0.0000,0.9355
179,41,10,0.8926,0.00004732,0.0000,5.1909,27.6220,0.0000,0.9469
180,91,14,0.8920,0.00004730,0.0000,5.4898,32.9204,0.0000,0.9308
181,37,9,0.8914,0.00004729,0.0000,3.7968,25.9561,0.0000,0.9444
182,58,13,0.8908,0.00004727,0.0000,6.1861,27.9321,0.0000,0.9087
183,40,11,0.8902,0.00004726,0.0000,5.3629,25.2725,0.0000,0.9261
184,86,14,0.8896,0.00004724,0.0000,5.3179,28.8580,0.0000,0.9263
185,51,8,0.8890,0.00004723,0.0000,3.7775,30.0737,0.0000,0.9414
186,35,8,0.8884,0.00004721,0.0000,4.5447,29.6262,0.0000,0.9375
187,80,13,0.8878,0.00004720,0.0000,5.1094,26.3844,0.0000,0.9279
