episode,score,steps,epsilon,loss,avg_q
1,41,11,0.9996,0.0000,0.0470
2,106,16,0.9992,0.0000,0.0391
3,36,11,0.9989,17.1420,0.0583
4,104,13,0.9985,17.6163,0.0875
5,42,10,0.9981,17.7931,0.4050
6,35,8,0.9977,18.2394,1.5919
7,104,17,0.9973,15.6797,4.3359
8,39,9,0.9970,14.9763,10.8426
9,47,12,0.9966,14.3772,14.2013
10,56,11,0.9962,13.9097,13.1960
11,80,16,0.9958,13.6217,11.1850
12,42,10,0.9954,11.5357,11.1859
13,35,8,0.9951,11.1453,11.2477
14,52,12,0.9947,12.9140,13.1956
15,79,15,0.9943,12.3987,15.8959
16,38,11,0.9939,13.9738,18.7584
17,35,10,0.9935,11.0272,18.7546
18,53,10,0.9932,13.9559,12.8966
19,28,8,0.9928,14.2926,13.3360
20,53,10,0.9924,12.8006,13.3707
21,58,13,0.9920,13.8661,15.5136
22,179,21,0.9916,13.1680,15.8362
23,57,11,0.9913,13.4373,14.5365
24,87,14,0.9909,12.9167,13.5001
25,32,8,0.9905,13.1298,17.7678
26,75,14,0.9901,13.0497,18.1604
27,39,10,0.9897,14.1588,12.8835
28,61,13,0.9894,12.9206,15.4589
29,41,9,0.9890,13.7047,19.3098
30,67,11,0.9886,13.6882,13.7642
31,59,14,0.9882,13.1032,17.9414
32,52,11,0.9878,11.9080,15.9289
33,41,11,0.9875,12.1402,13.7579
34,56,13,0.9871,12.6079,16.0339
35,39,10,0.9867,11.3468,10.7145
36,41,11,0.9863,12.0559,17.1888
37,34,9,0.9859,12.7292,17.7764
38,40,9,0.9856,11.4340,11.7628
39,310,24,0.9852,11.0018,14.4875
40,71,14,0.9848,12.5275,14.9963
41,126,19,0.9844,10.7548,11.5145
42,28,7,0.9840,10.3477,11.8023
43,29,8,0.9837,10.6756,16.1866
44,37,8,0.9833,11.2752,9.6097
45,102,13,0.9829,11.6888,16.3225
46,40,10,0.9825,15.3480,18.5145
47,134,19,0.9821,13.3109,22.2986
48,124,18,0.9818,12.9071,24.0144
49,195,23,0.9814,11.6465,25.7018
50,45,11,0.9810,12.1169,25.8414
51,175,18,0.9806,10.5806,22.8021
52,38,8,0.9802,10.3537,24.1444
53,69,12,0.9799,10.5981,22.7881
54,75,13,0.9795,10.6023,22.8148
55,49,11,0.9791,11.1551,23.2318
56,56,11,0.9787,10.6790,25.1472
57,60,12,0.9783,10.9658,26.4087
