episode,score,steps,epsilon,loss,avg_v
1,50,13,0.9996,0.0000,4.6647
2,81,13,0.9992,0.0000,10.8940
3,57,14,0.9989,5.4302,5.7098
4,38,9,0.9985,5.4466,6.4606
5,115,13,0.9981,4.3520,16.0712
6,161,19,0.9977,4.4970,13.4420
7,123,15,0.9973,4.5376,18.1859
8,38,10,0.9970,3.9030,10.1187
9,66,11,0.9966,4.2102,15.1152
10,100,16,0.9962,4.9866,15.1579
11,38,9,0.9958,3.6753,8.6725
12,60,12,0.9954,3.4656,11.8882
13,38,11,0.9951,3.6296,9.7332
14,68,12,0.9947,4.0164,13.3085
15,38,11,0.9943,3.2137,9.5632
16,44,12,0.9939,4.0747,10.7291
17,35,8,0.9935,2.9075,10.5217
18,28,8,0.9932,3.7241,9.0828
19,39,9,0.9928,5.0528,12.3118
20,39,11,0.9924,4.5442,9.4712
21,44,11,0.9920,4.0555,9.3037
22,49,13,0.9916,4.2304,10.8289
23,52,10,0.9913,3.7630,10.6636
24,41,10,0.9909,3.2415,8.1400
25,79,14,0.9905,3.4934,15.4507
26,53,11,0.9901,4.1629,10.1736
27,140,17,0.9897,3.9972,14.5022
28,32,9,0.9894,3.8152,8.3639
29,40,10,0.9890,4.7667,9.7830
30,34,8,0.9886,4.3066,10.2896
31,37,10,0.9882,3.4187,9.6997
32,93,17,0.9878,3.7674,10.1676
33,55,13,0.9875,3.4035,9.4386
34,86,14,0.9871,3.9220,11.0701
35,48,13,0.9867,3.0678,9.9833
36,33,9,0.9863,4.4181,8.5246
37,82,11,0.9859,2.7977,15.8952
38,32,7,0.9856,4.5640,10.8999
39,38,12,0.9852,3.2341,7.2883
40,38,9,0.9848,3.3514,11.4452
41,116,18,0.9844,4.0683,13.0759
42,65,16,0.9840,2.9664,9.1657
43,53,11,0.9837,2.9232,10.4964
44,120,14,0.9833,3.4124,18.6480
45,37,10,0.9829,4.8624,10.0577
46,36,9,0.9825,7.1408,12.2537
47,52,11,0.9821,5.6085,12.4064
48,30,7,0.9818,4.3893,12.4909
49,41,10,0.9814,3.7071,11.7296
50,80,16,0.9810,4.2521,14.5678
51,31,9,0.9806,3.8972,11.3159
52,68,14,0.9802,5.2045,17.1700
53,63,13,0.9799,4.7543,15.5992
54,80,11,0.9795,4.3606,17.0156
55,193,25,0.9791,4.3471,21.9885
