rollout,total_steps,avg_score,avg_steps,policy_loss,value_loss,entropy
1,2048,63.57,11.77,0.1023,2869.4650,2.0920
2,4096,60.21,11.25,0.0466,3348.1778,1.9911
3,6144,62.81,11.68,0.0573,2800.3562,1.9684
4,8192,65.48,11.83,0.0707,2651.1874,1.9289
5,10240,59.29,11.48,0.0516,3735.9953,1.8644
6,12288,64.53,11.64,0.0181,3743.8271,1.7689
7,14336,65.23,11.78,0.0153,3530.9695,1.7835
8,16384,66.41,11.38,0.0185,3585.1044,1.7960
9,18432,63.60,11.72,0.0169,2993.2023,1.7815
10,20480,67.74,11.79,0.0373,4323.8293,1.6588
11,22528,56.48,11.20,0.0134,3497.2319,1.7341
12,24576,61.35,11.46,0.0246,3367.2717,1.8104
13,26624,58.89,11.27,0.0128,3480.2647,1.7452
14,28672,65.09,11.47,0.0193,3508.3267,1.7179
15,30720,65.14,11.78,0.0460,4189.0471,1.6743
16,32768,64.89,12.04,0.0230,3915.9315,1.5685
17,34816,64.66,11.79,0.0311,4178.1336,1.5829
18,36864,65.90,11.68,0.0177,3568.7307,1.6140
19,38912,63.04,11.84,0.0219,3996.7172,1.5321
20,40960,67.68,12.11,0.0211,4081.8576,1.5684
21,43008,63.21,11.52,0.0282,3272.0437,1.4913
22,45056,68.36,12.19,0.0150,3266.1523,1.4719
23,47104,61.67,11.80,0.0178,3232.1224,1.4938
24,49152,77.18,12.58,0.0180,3818.5462,1.4783
25,51200,67.37,11.75,0.0225,4025.0198,1.5155
26,53248,68.07,11.89,0.0125,4119.5376,1.6085
27,55296,72.27,12.36,0.0016,3764.6198,1.5465
28,57344,64.21,11.85,0.0221,3863.1607,1.5774
29,59392,72.58,12.36,0.0126,4100.5243,1.5923
30,61440,68.69,11.77,0.0140,4378.2596,1.5813
31,63488,72.28,12.34,0.0267,4785.1741,1.5532
32,65536,77.95,12.44,0.0145,6197.2899,1.5888
33,67584,70.89,11.89,0.0121,5849.4300,1.5395
34,69632,67.18,12.17,0.0200,5633.2176,1.5027
35,71680,64.08,11.75,0.0212,4648.6287,1.4691
36,73728,70.89,12.46,0.0251,4385.2525,1.4330
37,75776,74.23,12.44,0.0121,4384.9867,1.4300
38,77824,66.29,11.96,0.0142,4602.5236,1.4451
39,79872,71.82,12.26,0.0126,3947.6068,1.4797
40,81920,70.67,12.18,0.0280,4606.2924,1.4736
41,83968,73.69,12.29,0.0125,4894.7333,1.5372
42,86016,73.33,12.54,0.0091,4580.5722,1.5156
43,88064,75.43,12.53,0.0176,4291.0429,1.4800
44,90112,66.23,12.09,0.0326,2967.9651,1.4290
45,92160,68.79,11.99,0.0166,3725.8165,1.4327
46,94208,67.60,12.09,0.0261,2776.5282,1.5437
47,96256,70.03,12.07,0.0225,4578.2749,1.5333
48,98304,63.73,11.53,0.0115,4274.5936,1.5022
