episode,score,steps,epsilon,loss,avg_q
1,45,12,1.0000,0.0000,0.0402
2,89,15,1.0000,0.0000,0.0461
3,35,11,1.0000,5.9436,0.0801
4,42,10,0.9999,6.3161,0.1832
5,56,11,0.9999,5.9355,0.5175
6,29,7,0.9999,6.1142,1.1259
7,37,10,0.9999,4.9241,3.4487
8,40,10,0.9999,4.4117,5.4942
9,54,10,0.9999,3.9719,5.7709
10,38,11,0.9999,3.2175,6.8790
11,30,8,0.9999,2.8256,6.5765
12,57,13,0.9998,3.0768,8.4679
13,31,8,0.9998,2.8773,7.1113
14,33,8,0.9998,2.6920,8.7496
15,113,16,0.9998,3.7641,6.6800
16,78,12,0.9998,3.7977,6.0854
17,62,13,0.9998,2.7683,7.0427
18,47,13,0.9998,3.7671,7.2386
19,150,20,0.9998,3.8019,6.6039
20,34,8,0.9997,2.6433,8.0721
21,558,31,0.9997,4.1842,7.5047
22,35,9,0.9997,6.7014,7.2785
23,34,8,0.9997,4.9084,7.5995
24,29,7,0.9997,4.2522,6.2246
25,20,5,0.9997,6.0167,6.5914
26,56,11,0.9997,5.8458,6.9460
27,39,10,0.9997,4.5651,9.8393
28,49,10,0.9996,4.3387,10.4047
29,36,8,0.9996,6.3206,9.4329
30,36,9,0.9996,5.4772,7.7605
31,41,10,0.9996,5.0475,8.1175
32,53,12,0.9996,4.1295,9.4184
33,37,11,0.9996,4.3155,5.2799
34,38,10,0.9996,5.1844,10.3603
35,79,13,0.9996,4.2340,7.8726
36,40,10,0.9995,5.1828,7.8148
37,86,15,0.9995,4.1166,11.5868
38,34,9,0.9995,4.4029,8.7498
39,35,8,0.9995,5.6609,6.0426
40,105,16,0.9995,3.9220,9.0046
41,26,7,0.9995,3.6921,7.5922
42,40,10,0.9995,5.1238,8.7441
43,32,9,0.9995,3.7801,6.7648
44,79,18,0.9994,4.8946,8.6873
45,171,17,0.9994,4.1995,7.8786
46,87,13,0.9994,3.6925,6.4226
47,33,9,0.9994,4.1639,6.3659
48,68,13,0.9994,8.2050,10.7416
49,35,8,0.9994,7.0012,15.3310
50,39,9,0.9994,6.9230,13.2594
51,71,14,0.9994,6.4685,15.2705
52,52,11,0.9993,5.0917,15.8153
