episode,score,steps,epsilon,loss,avg_v
152,34,9,0.9910,4.3413,20.3974
153,36,10,0.9909,3.8694,21.8499
154,27,5,0.9909,3.3091,29.4004
155,34,7,0.9908,5.6866,23.3494
156,37,10,0.9907,5.3341,21.4541
157,33,7,0.9907,5.2240,19.9492
158,60,13,0.9906,4.4590,25.0969
159,40,10,0.9906,4.5583,22.6044
160,37,9,0.9905,3.4405,20.9639
161,48,10,0.9904,6.7151,22.5743
162,34,9,0.9904,6.0605,21.0234
163,75,10,0.9903,5.5836,27.7578
164,39,10,0.9903,4.1743,20.8354
165,34,8,0.9902,3.5225,22.8871
166,121,17,0.9901,3.8948,26.6185
167,57,13,0.9901,4.6954,20.9809
168,78,15,0.9900,4.9734,25.0968
169,43,10,0.9900,3.3148,22.6698
170,41,9,0.9899,4.9913,23.2414
171,39,10,0.9898,4.7966,24.3623
172,35,9,0.9898,4.0889,20.5092
173,43,12,0.9897,5.2346,21.3519
174,35,8,0.9897,3.9810,24.1154
175,101,16,0.9896,5.1431,23.7113
176,39,9,0.9896,4.5025,22.9479
177,53,10,0.9895,5.9162,22.7041
178,74,15,0.9894,3.7305,24.3177
179,229,21,0.9894,4.7723,31.6110
180,39,9,0.9893,5.3866,27.2703
181,133,20,0.9893,4.7272,31.7013
182,91,15,0.9892,4.9668,28.8461
183,38,10,0.9891,3.6759,27.0751
184,179,21,0.9891,4.1930,36.9703
185,41,11,0.9890,3.9437,26.9938
186,37,10,0.9890,6.7693,25.8179
187,54,11,0.9889,5.5205,26.5917
188,110,18,0.9888,5.3473,31.7312
189,63,13,0.9888,4.2968,29.9912
190,46,9,0.9887,6.7917,26.0558
191,51,8,0.9887,3.4296,36.2808
192,70,12,0.9886,4.5202,30.0584
193,36,9,0.9885,4.5099,25.3169
194,36,10,0.9885,4.3948,24.7693
195,84,11,0.9884,4.9198,35.9787
196,119,13,0.9884,4.3864,35.0019
197,62,15,0.9883,3.3928,26.5606
198,21,5,0.9882,2.8609,27.6371
199,33,8,0.9882,3.8987,25.8687
200,57,11,0.9881,5.2466,33.0281
201,32,7,0.9881,2.4880,27.1176
202,42,11,0.9880,3.6490,26.5035
203,89,15,0.9879,4.7491,30.3560
204,82,13,0.9879,4.1120,28.9736
205,61,12,0.9878,3.5363,32.1245
206,53,11,0.9878,3.9546,29.2297
207,57,11,0.9877,5.3044,29.6616
208,76,14,0.9877,4.2716,31.9519
209,43,10,0.9876,6.4172,25.6318
210,111,16,0.9875,4.2804,32.7424
211,36,9,0.9875,5.0015,25.6276
212,101,16,0.9874,5.2180,30.9680
213,199,21,0.9874,4.9516,33.4597
214,82,14,0.9873,3.8873,29.5069
215,51,9,0.9872,5.6088,29.8868
216,38,10,0.9872,3.5297,25.0584
217,90,13,0.9871,4.1540,34.5531
218,47,10,0.9871,5.1188,24.7018
219,33,8,0.9870,4.6799,26.3075
220,84,14,0.9869,3.5908,28.4865
221,53,10,0.9869,5.3370,31.6342
222,26,8,0.9868,5.5219,30.2059
223,37,10,0.9868,5.2483,29.4508
224,107,14,0.9867,4.4380,36.8578
225,29,6,0.9866,6.9713,29.7443
226,21,6,0.9866,5.0560,28.6694
227,50,11,0.9865,5.2278,33.1869
228,36,9,0.9865,5.0455,31.7792
229,54,12,0.9864,6.4116,33.2212
230,36,10,0.9863,2.9955,32.0090
231,83,14,0.9863,4.4671,33.4321
232,59,12,0.9862,5.1792,30.4580
233,80,13,0.9862,5.1379,33.1019
234,41,10,0.9861,4.6851,34.0154
235,51,11,0.9860,5.1039,31.2630
236,58,12,0.9860,5.3673,35.4537
237,54,10,0.9859,4.3725,35.6228
238,88,17,0.9859,4.5595,32.0752
239,57,13,0.9858,5.0223,30.7495
240,52,9,0.9858,3.8985,35.8064
241,85,14,0.9857,5.0071,38.2712
242,45,11,0.9856,5.9484,31.6061
243,89,16,0.9856,5.3673,34.4178
244,88,13,0.9855,3.8408,41.7463
245,81,14,0.9855,5.0274,32.4901
246,42,11,0.9854,6.6359,32.6799
247,26,6,0.9853,4.4625,33.1921
248,54,12,0.9853,3.3956,31.0299
249,58,11,0.9852,4.2876,33.5196
250,124,16,0.9852,5.0090,34.1171
251,40,10,0.9851,3.9679,32.2171
252,24,6,0.9850,3.3407,31.2498
253,27,7,0.9850,3.0917,32.7188
254,38,11,0.9849,4.9587,29.3569
255,32,8,0.9849,6.0556,29.2697
256,38,10,0.9848,3.3294,29.9942
257,90,16,0.9847,5.3883,32.3778
258,58,12,0.9847,4.3766,33.8807
259,100,15,0.9846,4.1404,39.7379
260,34,9,0.9846,5.1341,29.3573
261,55,10,0.9845,5.6097,32.6842
262,56,11,0.9844,6.9281,32.5951
263,62,11,0.9844,5.5402,33.8089
264,38,8,0.9843,4.4795,30.6382
265,105,16,0.9843,4.1765,39.8382
266,115,15,0.9842,5.2545,48.7319
267,74,13,0.9841,5.4666,42.8541
268,100,15,0.9841,5.9264,42.2155
269,50,10,0.9840,4.7663,37.9984
270,79,10,0.9840,7.1126,40.5766
271,50,10,0.9839,3.5583,35.1976
272,55,12,0.9839,4.5088,37.3038
273,41,11,0.9838,5.5456,40.2010
274,41,10,0.9837,5.4938,36.8603
275,52,10,0.9837,4.9416,38.4966
276,39,10,0.9836,3.6627,36.2099
277,46,6,0.9836,5.4943,45.0350
278,58,12,0.9835,5.8256,38.3686
279,60,13,0.9834,5.8009,40.1805
280,22,5,0.9834,2.0775,37.1044
281,36,7,0.9833,2.7984,39.4276
282,124,16,0.9833,5.7072,43.5289
283,29,7,0.9832,4.7177,38.4638
284,160,16,0.9831,4.6002,44.3780
285,52,11,0.9831,5.5108,40.5987
286,112,14,0.9830,5.4725,49.3593
287,44,9,0.9830,2.6338,40.3820
288,38,11,0.9829,6.7281,35.3820
289,37,8,0.9828,5.5486,38.5150
290,50,10,0.9828,3.9659,35.9399
291,41,11,0.9827,4.2043,34.4912
292,64,12,0.9827,4.0481,38.8592
293,43,10,0.9826,4.5952,41.6620
294,41,11,0.9825,5.5703,37.2168
295,54,13,0.9825,5.8476,35.0285
296,37,10,0.9824,4.0485,32.7670
297,45,12,0.9824,5.6561,38.0198
298,28,8,0.9823,6.5771,35.3803
299,32,7,0.9822,4.3390,39.5371
300,102,14,0.9822,6.2129,41.9272
301,141,19,0.9821,5.9903,43.1849
302,48,8,0.9821,6.0940,39.0066
303,45,13,0.9820,4.3448,35.8437
304,55,11,0.9819,5.0948,40.1791
305,156,15,0.9819,5.3933,47.9970
306,90,13,0.9818,4.1962,40.7413
307,32,8,0.9818,3.6513,36.1991
308,89,14,0.9817,4.9994,35.6934
309,31,8,0.9817,5.6116,37.6575
310,28,7,0.9816,6.5068,34.9415
311,41,11,0.9815,5.3835,36.6350
312,36,9,0.9815,7.3643,43.9464
313,52,11,0.9814,5.8841,42.7477
314,64,15,0.9814,5.1547,41.5902
315,34,9,0.9813,4.8013,39.7118
316,60,12,0.9812,4.7995,44.3882
317,58,11,0.9812,4.3591,46.3334
318,47,10,0.9811,5.6478,38.7764
319,37,10,0.9811,5.0753,40.5861
320,52,11,0.9810,6.4234,43.2026
321,35,10,0.9809,7.2710,38.3275
322,37,9,0.9809,4.6612,40.6487
323,64,13,0.9808,5.5697,44.4728
324,28,8,0.9808,4.9237,42.0747
325,51,12,0.9807,5.6398,40.6350
326,35,8,0.9806,4.2416,41.5799
327,55,11,0.9806,4.7909,45.3113
328,43,11,0.9805,5.6311,43.1245
329,55,11,0.9805,7.5556,43.0061
330,43,8,0.9804,4.4858,43.0496
331,82,18,0.9803,4.9173,42.3485
332,42,12,0.9803,4.8771,43.2642
333,46,13,0.9802,5.4626,43.5117
334,43,10,0.9802,4.2068,42.1695
335,56,11,0.9801,6.4186,39.1027
336,52,12,0.9800,6.6700,40.9012
337,153,22,0.9800,6.5242,49.5498
338,37,9,0.9799,5.3344,40.6122
339,28,7,0.9799,5.2472,40.0792
340,60,12,0.9798,6.3361,40.7541
341,34,8,0.9798,6.0585,43.7547
342,35,9,0.9797,5.1092,41.1981
343,51,10,0.9796,5.6943,40.7224
344,54,11,0.9796,3.9594,45.2776
345,35,9,0.9795,6.7018,39.1430
346,47,11,0.9795,5.9901,40.0575
347,40,10,0.9794,5.4936,42.7912
348,27,7,0.9793,5.6170,38.2823
349,55,10,0.9793,5.9145,43.3123
350,53,10,0.9792,3.7992,41.5084
351,39,9,0.9792,4.8725,42.0598
352,44,12,0.9791,4.5034,38.7044
353,85,18,0.9790,5.1509,43.4136
354,68,12,0.9790,6.2437,42.4547
355,55,11,0.9789,5.9936,46.6838
356,56,13,0.9789,5.4918,41.9217
357,41,11,0.9788,6.6879,49.2722
358,40,10,0.9787,5.1245,46.5493
359,85,15,0.9787,5.1800,49.9231
360,55,9,0.9786,6.2813,51.7618
361,60,12,0.9786,4.6720,53.9421
362,37,10,0.9785,6.4837,45.6114
363,111,20,0.9784,4.6072,49.4819
364,39,11,0.9784,4.8773,45.1934
365,74,15,0.9783,5.9682,45.4437
366,33,9,0.9783,4.2920,46.1953
367,41,10,0.9782,3.9159,48.7143
368,56,12,0.9781,6.4926,50.5093
369,41,7,0.9781,6.5180,46.6377
370,36,9,0.9780,5.2144,44.2566
371,57,12,0.9780,6.7024,47.0240
372,31,8,0.9779,3.2525,46.9975
373,50,11,0.9779,6.8979,45.6262
374,28,7,0.9778,7.2606,43.4805
375,54,12,0.9777,4.4359,43.0765
376,40,11,0.9777,3.9068,49.1521
377,45,11,0.9776,4.9997,48.4639
378,81,15,0.9776,6.5890,51.3947
379,76,13,0.9775,5.2591,51.3921
380,33,8,0.9774,5.8580,44.9486
381,128,18,0.9774,5.9925,52.3009
382,40,10,0.9773,5.2241,48.5955
383,25,6,0.9773,5.9645,43.3984
384,30,8,0.9772,4.8229,49.1097
385,52,11,0.9771,6.6832,48.5727
386,74,15,0.9771,4.5563,47.6636
387,34,9,0.9770,3.6113,43.7968
388,154,17,0.9770,4.8324,53.5422
389,85,14,0.9769,5.9269,48.4722
390,21,6,0.9768,5.5628,39.5797
391,78,12,0.9768,5.4427,46.9951
392,42,10,0.9767,6.7191,47.3502
393,61,13,0.9767,5.7539,48.9361
394,39,10,0.9766,4.2595,47.5524
395,42,11,0.9765,7.4672,49.6434
396,99,19,0.9765,5.2442,52.7329
397,36,10,0.9764,5.5978,44.1243
398,81,19,0.9764,4.9849,48.3112
399,37,8,0.9763,7.0649,49.6078
400,49,9,0.9762,5.3842,46.4654
401,42,10,0.9762,7.1685,50.2756
402,59,14,0.9761,8.3859,53.2168
403,175,19,0.9761,6.1563,60.6483
404,43,12,0.9760,6.0222,51.4371
405,35,9,0.9760,7.6385,52.9073
406,163,17,0.9759,6.7370,64.8669
407,51,9,0.9758,6.2182,57.7103
408,35,9,0.9758,7.0195,50.2991
409,71,11,0.9757,6.0072,58.1491
410,33,8,0.9757,8.6459,51.6911
411,57,14,0.9756,5.7701,53.4394
412,37,10,0.9755,7.2361,50.7210
413,36,10,0.9755,6.2434,48.8926
414,31,9,0.9754,5.2779,49.7707
415,31,9,0.9754,5.9425,48.8812
416,42,10,0.9753,6.2015,54.1113
417,72,14,0.9752,6.6379,56.0570
418,90,13,0.9752,4.1486,63.8311
419,33,9,0.9751,5.0589,50.8830
420,49,14,0.9751,5.1330,51.8706
421,38,11,0.9750,3.6426,52.0931
422,35,9,0.9749,5.5440,50.0966
423,39,11,0.9749,4.1456,54.8293
424,38,8,0.9748,3.9696,52.8702
425,41,10,0.9748,6.9016,53.7326
426,56,12,0.9747,7.3202,52.3402
427,60,14,0.9746,6.1774,57.3627
428,58,11,0.9746,3.6465,54.8079
429,62,14,0.9745,4.7319,52.2922
430,55,10,0.9745,6.7095,55.9823
431,29,6,0.9744,6.3978,51.0638
432,27,6,0.9744,4.2716,50.2448
433,55,11,0.9743,5.4971,53.0437
434,207,22,0.9742,6.5990,66.1140
435,73,13,0.9742,6.1992,57.2485
436,31,8,0.9741,3.9365,51.2505
437,40,10,0.9741,4.4478,53.7121
438,56,11,0.9740,4.7061,52.5350
439,79,15,0.9739,5.1942,55.1503
440,32,8,0.9739,6.9382,50.2550
441,43,10,0.9738,4.0466,51.4332
442,117,15,0.9738,5.1386,51.3800
443,42,10,0.9737,6.5860,52.0696
444,44,9,0.9736,4.1889,55.3616
445,17,4,0.9736,7.5042,52.7104
446,52,11,0.9735,8.1216,53.8822
447,75,10,0.9735,6.9075,63.2065
448,40,10,0.9734,5.8489,56.3002
449,46,11,0.9733,6.4690,59.0090
450,61,11,0.9733,6.2491,60.6559
451,36,11,0.9732,5.9973,52.3569
452,44,11,0.9732,8.7308,55.9687
453,57,10,0.9731,6.7493,58.9257
454,74,13,0.9730,6.4156,60.6531
455,31,8,0.9730,6.3474,56.4843
456,28,6,0.9729,6.1979,55.0286
457,36,9,0.9729,5.8178,55.0517
458,54,11,0.9728,8.8604,58.3411
459,27,5,0.9727,8.6833,59.9236
460,61,13,0.9727,7.0457,59.0748
461,68,14,0.9726,6.1507,58.1788
462,42,12,0.9726,5.5587,54.7231
463,41,9,0.9725,7.2158,56.4190
464,55,13,0.9725,6.3022,60.4961
465,36,10,0.9724,6.6214,54.9987
466,37,9,0.9723,6.6942,59.5740
467,35,7,0.9723,3.6667,58.1965
468,83,15,0.9722,6.3406,60.1751
469,55,11,0.9722,6.0113,54.4351
470,34,10,0.9721,4.5815,52.2268
471,58,12,0.9720,6.5918,54.1864
472,116,13,0.9720,6.2167,66.4185
473,35,9,0.9719,7.7703,59.6923
474,83,12,0.9719,6.0642,62.9407
475,39,9,0.9718,7.3143,57.3397
476,40,10,0.9717,4.8124,58.0884
477,53,9,0.9717,6.4472,59.2269
478,42,10,0.9716,4.8559,60.6831
479,35,10,0.9716,5.4030,52.6706
480,77,16,0.9715,5.1841,58.8241
481,38,9,0.9714,6.3806,55.5233
482,39,11,0.9714,4.7159,55.7276
483,105,14,0.9713,4.6606,61.2167
484,65,11,0.9713,6.5546,61.7450
485,38,9,0.9712,4.4605,57.7345
486,51,10,0.9711,5.7041,64.7506
487,62,13,0.9711,8.0378,62.7035
488,40,11,0.9710,4.9386,61.9568
489,26,6,0.9710,5.2416,53.6824
490,38,10,0.9709,8.9276,56.9044
491,96,17,0.9708,6.7088,66.2678
492,82,12,0.9708,5.5805,58.7685
493,33,9,0.9707,9.1271,63.6833
494,53,12,0.9707,4.3600,63.0274
495,137,20,0.9706,6.4142,69.8380
496,30,8,0.9706,8.4722,61.2664
497,47,10,0.9705,6.0270,70.5873
498,26,6,0.9704,10.0961,61.7950
499,49,11,0.9704,7.8930,63.0773
500,102,16,0.9703,7.0556,67.2460
501,23,7,0.9703,9.6303,57.7066
502,40,11,0.9702,7.5134,66.3831
503,32,8,0.9701,7.9789,62.8334
504,32,8,0.9701,6.6336,62.8944
505,111,14,0.9700,6.1657,72.3786
506,41,11,0.9700,6.8954,64.8157
507,94,17,0.9699,8.1962,71.7997
508,40,10,0.9698,6.1364,63.6076
509,214,19,0.9698,8.0210,78.1229
510,50,10,0.9697,6.8614,68.9684
511,36,8,0.9697,10.5522,67.8666
512,45,10,0.9696,7.9454,70.3263
513,48,10,0.9695,8.0899,65.8013
514,43,12,0.9695,5.0387,66.4141
515,80,15,0.9694,7.0380,67.4484
516,32,8,0.9694,8.8234,66.3523
517,25,7,0.9693,8.0034,61.1538
518,75,12,0.9692,7.2083,67.1400
519,80,11,0.9692,7.3093,71.3596
520,55,11,0.9691,6.8864,60.2380
521,36,9,0.9691,7.9711,60.8625
522,39,10,0.9690,6.4857,62.2898
523,40,10,0.9689,6.4962,67.1068
524,42,10,0.9689,5.3938,68.8399
525,74,14,0.9688,7.5994,69.3494
526,79,11,0.9688,8.4984,62.9940
527,32,8,0.9687,7.7397,63.5267
528,57,11,0.9687,6.8693,65.4979
529,31,7,0.9686,6.0433,63.3388
530,52,12,0.9685,4.6484,66.2381
531,79,12,0.9685,6.6437,70.8355
532,35,8,0.9684,6.6524,67.4493
533,27,6,0.9684,8.0090,59.3718
534,45,11,0.9683,5.3545,64.7558
535,59,12,0.9682,4.1710,65.2121
536,35,8,0.9682,7.3310,64.2953
537,38,10,0.9681,7.5011,61.4049
538,33,7,0.9681,5.5134,64.4972
539,32,9,0.9680,7.8144,63.7180
540,49,10,0.9679,11.7893,70.0407
541,75,14,0.9679,7.1922,73.9678
542,33,9,0.9678,5.6980,65.7781
543,28,7,0.9678,5.4228,65.8402
