seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
9000,1450,13,16,48,1.8331147864114694,31.16295136899498
9001,1550,13,18,54,2.344967172052987,44.55437626900675
9002,27812,66,83,249,2.4953739130359756,209.61140869502196
9003,1353,15,13,39,2.024476838857871,28.342675744010194
9004,7767,37,35,105,2.360163513833464,84.96588649800469
9005,68104,100,138,414,1.7807926763813393,247.53018201700615
9006,2362,20,18,54,3.254913211526352,61.84335101900069
9007,48664,89,103,309,2.0801983494039424,216.34062833801
9008,5866,22,47,141,1.9274469671039849,92.51745442099127
9009,2141,19,16,48,2.1841620172355545,37.13075429300443
9010,22202,56,67,201,2.2691712490739198,154.30364493702655
9011,25394,53,78,234,2.3150262982308982,180.57205126201006
9012,16393,56,39,117,2.4777478305752085,99.10991322300833
9013,1105,10,16,48,2.9343206621764266,49.88345125699925
9014,19831,46,56,168,2.31558270884195,131.98821440399115
9015,12608,49,33,99,2.1756218162652874,73.97114175301977
9016,8605,30,46,138,2.2042481698085115,103.59966398100005
9017,20911,61,42,126,1.8456095983023006,79.36121272699893
9018,19875,49,67,201,2.3700673083090162,161.1645769650131
9019,7015,30,38,114,2.9532699518462415,115.17752812200342
9020,3743,25,24,72,2.758273805879726,68.95684514699315
9021,1743,13,21,63,2.1566966645909402,47.447326621000684
9022,1885,18,15,45,2.905219424875213,46.48351079800341
9023,17534,58,41,123,2.7743482324047015,116.52262576099747
9024,573,9,9,27,3.560835951099216,35.60835951099216
9025,2686,14,26,78,2.5522189578522454,68.90991186201063
9026,4914,28,31,93,1.7741807956560933,56.773785460994986
9027,6673,25,41,123,1.8391191987146678,77.24300634601605
9028,47451,72,125,375,1.7062520490640019,213.28150613300022
9029,2132,14,21,63,1.692220087318095,37.22884192099809
