episode,score,steps,epsilon,loss,avg_q
1,45,12,0.9996,0.0000,0.0493
2,131,18,0.9992,0.0000,0.0428
3,33,10,0.9989,6.7453,0.0952
4,53,11,0.9985,6.1380,0.2649
5,42,10,0.9981,5.6612,1.0174
6,84,12,0.9977,4.6821,3.3929
7,40,10,0.9973,4.3392,4.6768
8,26,6,0.9970,3.4213,4.6459
9,34,8,0.9966,3.7450,5.0224
10,63,13,0.9962,3.5716,4.4952
11,77,15,0.9958,3.7258,5.9639
12,31,8,0.9954,3.5043,6.2146
13,548,35,0.9951,4.4292,6.1295
14,36,9,0.9947,5.9798,5.9585
15,38,11,0.9943,4.6283,5.3312
16,120,16,0.9939,4.7933,8.3161
17,37,12,0.9935,5.5818,6.7297
18,39,9,0.9932,5.6159,7.3758
19,43,12,0.9928,5.4202,6.7232
20,35,9,0.9924,4.7972,6.1901
21,48,10,0.9920,4.4977,7.7433
22,57,11,0.9916,4.1346,6.4764
23,59,12,0.9913,4.7807,7.1158
24,48,9,0.9909,5.3065,5.7139
25,35,9,0.9905,3.7399,7.5214
26,35,9,0.9901,4.4001,8.1820
27,61,13,0.9897,4.9600,6.2831
28,51,9,0.9894,4.4592,5.9953
29,311,26,0.9890,4.4350,5.6425
30,120,16,0.9886,4.5142,6.4902
31,65,12,0.9882,3.9662,5.9911
32,58,12,0.9878,3.7928,6.4646
33,50,11,0.9875,4.0465,6.6652
34,75,12,0.9871,4.2113,6.7570
35,104,14,0.9867,4.6010,5.4495
36,75,12,0.9863,3.8183,5.3393
37,42,10,0.9859,3.8227,5.6251
38,43,12,0.9856,4.0861,5.5159
39,74,16,0.9852,4.9546,5.5545
40,54,11,0.9848,4.1770,5.7653
41,36,9,0.9844,2.1940,6.0726
42,31,7,0.9840,4.2003,5.2904
43,152,16,0.9837,4.2088,5.2937
44,28,7,0.9833,4.8495,6.2460
45,107,14,0.9829,6.1011,9.8864
46,57,11,0.9825,5.6994,13.9841
47,51,12,0.9821,5.2101,11.0901
48,35,9,0.9818,3.5382,12.9577
49,38,11,0.9814,3.8682,11.0435
50,56,11,0.9810,5.2530,12.6481
51,41,10,0.9806,4.2755,11.2748
52,30,7,0.9802,5.4113,11.7597
53,54,10,0.9799,3.6973,11.3484
54,37,9,0.9795,3.9479,10.5931
55,90,18,0.9791,3.9673,9.9041
56,187,18,0.9787,5.4634,10.7778
57,39,10,0.9783,3.9648,10.3282
58,34,8,0.9780,3.1085,11.0826
59,41,11,0.9776,3.6819,10.1688
60,58,14,0.9772,5.1635,10.0906
61,56,10,0.9768,4.5665,11.8012
62,36,9,0.9764,3.2082,10.9212
63,34,9,0.9761,3.9657,10.3073
64,37,10,0.9757,3.1482,10.1095
65,33,9,0.9753,3.4124,9.5125
66,41,10,0.9749,4.1900,10.7852
67,53,10,0.9745,4.0237,11.3147
68,37,10,0.9742,4.7830,10.8703
69,144,16,0.9738,4.2039,11.5831
70,48,10,0.9734,4.9446,10.7908
71,60,13,0.9730,4.4485,9.8745
72,29,8,0.9726,6.0452,10.5056
73,52,9,0.9723,3.5371,11.2345
74,601,45,0.9719,3.6335,10.0679
75,34,9,0.9715,3.9736,10.4589
76,38,9,0.9711,3.7938,10.0294
77,37,11,0.9707,4.2957,9.4218
78,57,12,0.9704,4.8004,9.8146
79,35,10,0.9700,3.0776,9.4269
80,63,15,0.9696,4.5143,9.5469
81,37,10,0.9692,5.1259,9.9537
82,177,19,0.9688,4.5188,10.4060
83,61,11,0.9685,3.2532,11.4613
84,35,9,0.9681,5.0930,10.1664
85,39,11,0.9677,3.9778,9.7471
86,63,13,0.9673,4.5746,10.3574
87,72,12,0.9669,7.8813,14.3421
88,32,9,0.9666,4.3044,19.4580
89,31,8,0.9662,5.1793,14.8549
90,76,13,0.9658,5.1806,17.2655
91,26,7,0.9654,4.3725,15.9294
92,34,8,0.9650,5.3750,17.2540
93,57,12,0.9647,5.6865,15.2901
94,40,11,0.9643,4.4069,15.4089
95,34,8,0.9639,4.7579,16.5922
96,238,22,0.9635,4.2675,15.4223
97,79,12,0.9631,3.4264,16.5295
98,35,9,0.9628,5.2398,15.5990
99,56,11,0.9624,3.4777,16.4642
100,82,17,0.9620,3.4989,15.6716
101,44,12,0.9616,5.0678,14.4775
102,34,10,0.9612,5.2070,13.9795
103,84,14,0.9609,5.7486,15.3567
104,144,21,0.9605,3.9147,15.1255
105,39,10,0.9601,3.5435,15.0854
106,33,9,0.9597,4.3400,13.9992
107,44,12,0.9593,4.6506,15.3020
108,36,8,0.9590,6.2747,16.3810
109,51,10,0.9586,4.8344,15.4975
110,22,5,0.9582,3.2402,16.8753
111,59,12,0.9578,5.0450,14.7281
112,30,8,0.9574,3.9479,14.6603
113,41,10,0.9571,3.7792,14.3525
114,42,10,0.9567,4.7345,16.2779
115,59,13,0.9563,3.7649,15.9027
116,57,12,0.9559,4.7374,15.1700
117,73,11,0.9555,4.4673,15.1460
118,84,14,0.9552,4.7822,14.9921
119,110,18,0.9548,5.1710,14.4658
120,51,11,0.9544,3.7691,15.2381
121,52,10,0.9540,3.9588,14.8524
122,55,13,0.9536,3.5144,14.1773
123,32,9,0.9533,4.6111,14.0287
124,167,15,0.9529,4.0826,15.4878
125,25,6,0.9525,3.3241,14.8761
126,42,10,0.9521,4.0253,15.9560
127,31,8,0.9517,3.6103,14.7519
128,44,12,0.9514,4.0611,15.4734
129,32,6,0.9510,3.1506,17.6366
130,52,11,0.9506,4.5646,15.3276
131,41,12,0.9502,5.9744,14.7194
132,59,13,0.9498,6.6775,20.0314
133,38,8,0.9495,3.9094,21.6375
134,38,9,0.9491,4.1778,19.5207
135,60,13,0.9487,5.8960,19.7072
136,80,17,0.9483,4.5557,19.7024
137,52,9,0.9479,4.6203,21.4707
138,31,6,0.9476,4.2157,21.0871
139,39,8,0.9472,4.1045,21.5822
140,28,8,0.9468,4.7909,19.2352
141,38,10,0.9464,5.2632,19.0421
142,44,9,0.9460,3.8402,21.6039
143,210,25,0.9457,5.4804,20.0306
144,61,15,0.9453,4.7458,19.4404
145,58,13,0.9449,5.7051,19.9765
146,34,9,0.9445,4.5277,19.9313
147,32,9,0.9441,4.9440,19.2181
148,37,9,0.9438,4.6332,20.5769
149,159,21,0.9434,5.3205,20.5696
150,50,8,0.9430,3.5426,21.0552
151,51,10,0.9426,4.2570,21.3361
152,53,9,0.9422,3.6086,20.9070
153,102,12,0.9419,4.9475,19.8047
154,77,15,0.9415,4.5938,20.8203
155,36,8,0.9411,4.6630,20.4241
156,105,17,0.9407,4.1967,19.5330
157,184,17,0.9403,4.7676,20.6749
158,77,14,0.9400,3.7524,20.7410
159,71,12,0.9396,5.0103,20.6216
160,73,15,0.9392,4.8012,19.5171
