rollout,total_steps,avg_score,avg_steps,policy_loss,value_loss,entropy
1,2048,59.48,11.41,0.1567,3247.0082,1.9221
2,4096,61.01,11.30,0.0274,3054.7938,1.5880
3,6144,62.12,11.41,0.0384,3204.0970,1.5315
4,8192,58.37,11.48,0.0396,3693.6120,1.3927
5,10240,57.73,11.35,0.0245,2889.2599,1.3586
6,12288,56.30,11.16,0.0073,2649.0376,1.3911
7,14336,57.12,11.28,0.0069,3669.6460,1.3417
8,16384,69.11,11.97,0.0223,3930.0674,1.2703
9,18432,58.72,11.06,0.0235,3839.3678,1.3254
10,20480,58.26,11.33,0.0153,3287.1990,1.2484
11,22528,61.35,11.54,0.0260,3355.0150,1.3528
12,24576,66.85,12.06,0.0151,3536.8822,1.2183
13,26624,68.34,12.14,0.0095,3293.9808,1.1520
14,28672,70.94,12.20,0.0090,3317.7209,1.1769
15,30720,65.62,11.91,0.0120,4515.0540,1.1237
16,32768,65.88,11.94,0.0105,3488.8815,1.1637
17,34816,62.75,11.82,0.0155,3345.0159,1.1470
18,36864,73.23,12.68,0.0380,3594.7949,1.1053
19,38912,64.19,12.09,0.0241,5092.8216,0.9804
20,40960,68.57,12.01,0.0140,3977.6971,0.9929
21,43008,70.14,12.03,0.0128,3871.1562,0.9769
22,45056,65.08,11.88,0.0092,3741.1012,0.8900
23,47104,71.60,12.63,0.0214,3729.9071,0.8257
24,49152,73.70,12.74,0.0038,3132.7926,0.7468
25,51200,63.35,11.97,0.0115,3671.1719,0.7333
26,53248,68.38,12.10,0.0064,4078.9080,0.6941
27,55296,62.84,12.16,0.0009,4612.5429,0.7070
28,57344,61.22,11.85,0.0126,3033.8999,0.8804
29,59392,64.97,11.85,0.0086,3416.4465,0.7051
30,61440,69.82,12.34,0.0064,3723.6001,0.6866
31,63488,75.74,12.75,0.0089,4159.4721,0.6323
32,65536,80.93,13.01,0.0030,4457.9005,0.5599
33,67584,75.13,12.35,0.0101,4887.5059,0.6113
34,69632,67.54,12.22,0.0094,4487.2406,0.6485
35,71680,68.96,12.26,0.0087,3782.8972,0.5686
36,73728,72.02,12.58,0.0062,3695.6521,0.5548
37,75776,91.58,13.45,0.0153,5882.1185,0.4623
38,77824,74.04,12.88,-0.0005,5312.7537,0.4880
39,79872,78.14,13.04,0.0086,4342.3975,0.4701
40,81920,73.69,12.65,0.0049,4259.7432,0.4230
41,83968,86.13,13.46,0.0072,5212.2866,0.3714
42,86016,85.18,13.46,0.0034,5230.7290,0.3764
43,88064,77.18,12.54,0.0015,4981.9195,0.3470
44,90112,75.79,12.97,0.0061,4349.6607,0.3802
45,92160,77.65,12.78,0.0002,5468.8582,0.3810
46,94208,74.04,12.75,0.0008,4193.8196,0.3739
47,96256,72.60,12.64,0.0025,3516.3077,0.3650
48,98304,79.67,13.20,0.0010,4304.3333,0.3183
49,100352,78.52,12.66,0.0079,4663.9146,0.3450
50,102400,84.95,13.44,0.0037,4768.9668,0.3344
51,104448,78.92,13.04,0.0073,4408.6867,0.4027
52,106496,79.66,13.27,-0.0011,4131.5602,0.3686
53,108544,80.26,12.88,0.0052,4342.5037,0.2899
54,110592,80.18,13.11,0.0025,4616.1733,0.3148
55,112640,81.73,13.24,-0.0000,4230.3654,0.2746
56,114688,87.44,13.88,0.0031,5168.1059,0.2502
57,116736,80.02,13.10,0.0062,5125.4825,0.2820
58,118784,80.81,13.17,0.0045,4644.3797,0.2580
59,120832,81.68,13.31,0.0011,4096.3786,0.2755
60,122880,83.61,13.29,0.0031,4920.1717,0.2429
61,124928,84.97,12.96,-0.0043,7138.6193,0.2027
62,126976,82.69,13.23,0.0100,5560.6230,0.2489
63,129024,90.19,14.14,0.0048,5808.4124,0.1992
64,131072,85.91,13.12,0.0069,6088.1323,0.2162
65,133120,80.32,12.98,0.0014,5128.1872,0.2378
66,135168,94.29,14.19,0.0010,6576.0577,0.2243
67,137216,78.21,12.93,0.0004,5504.1607,0.2557
68,139264,80.11,13.33,-0.0015,4764.7862,0.2912
69,141312,85.41,13.51,-0.0027,5826.6850,0.2828
70,143360,78.37,13.05,-0.0006,4979.1648,0.2713
71,145408,83.68,13.73,-0.0035,5236.9114,0.2437
72,147456,74.02,12.88,0.0016,4543.3689,0.2918
73,149504,80.82,12.98,0.0029,5120.1106,0.2429
74,151552,79.98,13.15,0.0018,4104.1843,0.2896
