seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
9000,270825,224,180,540,1.5908574243646363,287.9451938099992
9001,1041,13,11,33,2.6313757450840662,31.576508941008797
9002,152770,153,165,495,1.6416292559638295,272.5104564899957
9003,65902,113,77,231,1.5042567513079028,117.33202660201641
9004,75901,122,81,243,1.5541489579513947,127.44021455201437
9005,116806,151,103,309,1.3655651682977874,142.0187775029699
9006,208652,203,137,411,1.3193836766304625,182.07494737500383
9007,11557,34,48,144,1.92845793679582,94.49443890299517
9008,111524,100,195,585,1.48002497641334,290.0848953770146
9009,10803,32,44,132,2.0338257378002003,91.522158201009
9010,2723,22,16,48,2.0748275978822837,35.27206916399882
9011,340739,255,197,591,1.2303796912828597,243.61517887400623
9012,105615,144,99,297,1.2943766332601445,129.43766332601444
9013,46549,85,86,258,1.6751129250919436,145.7348244829991
9014,19555,48,66,198,1.8320537078956776,122.7475984290104
9015,665,9,10,30,3.170994107454383,34.88093518199821
9016,10837,45,38,114,2.734009919487364,106.62638686000719
9017,661,10,9,27,2.0437677442994753,20.437677442994755
9018,32765,78,55,165,1.8631209879999264,104.33477532799589
9019,112788,146,99,297,1.6301566272701167,163.01566272701166
9020,60299,106,74,222,1.5620462588136919,117.15346941102689
9021,21300,64,43,129,1.1849576978863545,52.1381387069996
9022,6973,36,25,75,2.3652537521537362,61.49659755599714
9023,73492,120,81,243,1.817392085329097,149.02615099698596
9024,65961,98,115,345,1.4602037739135492,169.3836377739717
9025,6239,34,25,75,2.27240644142316,59.08256747700216
9026,12863,49,39,117,1.887481054225009,75.49924216900035
9027,31526,76,52,156,2.2829055565659626,120.99399449799603
9028,58047,93,99,297,1.623190388049952,162.31903880499522
9029,82579,126,86,258,1.8964240472186216,164.98889210802008
