episode,score,steps,epsilon,lr,loss,avg_v,grad_norm
100,106,16,0.9850,0.00005000,3.1356,21.3384,5.5083
101,70,12,0.9849,0.00005000,4.3727,17.6789,6.7257
102,27,6,0.9847,0.00005000,1.8705,18.0103,9.5142
103,75,13,0.9846,0.00005000,4.4138,22.7760,7.7533
104,130,19,0.9844,0.00005000,4.7962,22.3541,7.4036
105,40,10,0.9842,0.00005000,3.9088,17.6496,9.2021
106,110,15,0.9841,0.00005000,3.9993,20.0147,8.8253
107,32,8,0.9839,0.00005000,4.9503,18.4269,7.3584
108,173,20,0.9838,0.00005000,4.2848,25.0323,8.4564
109,42,11,0.9837,0.00005000,5.2322,20.0420,5.7785
110,265,18,0.9835,0.00005000,4.0416,28.1969,6.5132
111,35,8,0.9833,0.00005000,3.4877,18.3564,5.8561
112,55,11,0.9832,0.00005000,3.8152,18.6148,7.4921
113,32,8,0.9830,0.00005000,3.7021,18.4563,6.6175
114,28,8,0.9829,0.00005000,4.6837,17.8738,7.4436
115,26,7,0.9828,0.00005000,2.9665,17.1741,10.1239
116,39,11,0.9826,0.00005000,4.4730,18.4427,6.2506
117,58,12,0.9825,0.00005000,3.4974,19.1435,4.8632
118,62,14,0.9823,0.00005000,3.2781,18.2234,7.5245
119,43,12,0.9821,0.00005000,3.7710,15.3725,6.1853
120,37,10,0.9820,0.00005000,3.8680,16.1083,6.4733
121,33,8,0.9819,0.00005000,3.3702,23.1123,4.7265
122,35,8,0.9817,0.00005000,3.7233,16.9917,7.1105
123,166,20,0.9816,0.00005000,3.7331,23.7484,6.9398
124,26,6,0.9814,0.00005000,3.8145,18.6596,7.6371
125,120,17,0.9812,0.00005000,4.1418,22.4658,5.9653
126,41,11,0.9811,0.00005000,3.5092,16.7834,12.6477
127,33,9,0.9809,0.00005000,5.2070,16.0917,11.6060
128,163,18,0.9808,0.00005000,4.7873,22.2082,6.6409
129,33,8,0.9807,0.00005000,6.5946,17.1135,8.8063
130,52,9,0.9805,0.00005000,7.5965,21.7726,27.9134
131,89,15,0.9804,0.00005000,5.3213,21.3379,32.8548
132,86,13,0.9802,0.00005000,4.9954,26.5610,17.3787
133,30,6,0.9800,0.00005000,4.4002,24.8889,14.2997
134,29,6,0.9799,0.00005000,3.1373,24.9018,8.2258
135,46,12,0.9798,0.00005000,3.4948,23.5355,8.6277
136,39,10,0.9796,0.00005000,3.9148,19.4065,9.8821
137,79,12,0.9795,0.00005000,4.4936,23.4038,11.0367
138,28,7,0.9793,0.00005000,4.2717,21.5274,9.1706
139,40,10,0.9791,0.00005000,2.7689,22.0897,14.0605
140,57,10,0.9790,0.00005000,4.6223,27.6359,19.8981
141,85,15,0.9788,0.00005000,4.0128,23.8061,13.5631
142,25,7,0.9787,0.00005000,2.9560,22.7061,7.5247
143,53,10,0.9786,0.00005000,4.1166,25.9871,8.3065
144,67,12,0.9784,0.00005000,4.3279,24.3747,8.3184
145,31,7,0.9782,0.00005000,3.8727,21.8620,6.8829
146,58,12,0.9781,0.00005000,6.3809,23.0664,9.6365
147,85,15,0.9779,0.00005000,5.6911,21.5893,10.8550
148,57,12,0.9778,0.00005000,4.2831,21.9075,7.4741
149,42,10,0.9777,0.00005000,4.6950,24.1257,11.0593
150,33,8,0.9775,0.00005000,3.9761,20.9725,8.5997
151,62,12,0.9774,0.00005000,3.6599,25.9018,11.5648
152,27,7,0.9772,0.00005000,4.3626,21.7906,12.7383
153,63,14,0.9770,0.00005000,3.6248,25.5331,10.1814
154,36,9,0.9769,0.00005000,4.5989,21.0829,13.6403
155,43,11,0.9768,0.00005000,5.5220,24.4094,11.4401
156,58,12,0.9766,0.00005000,4.6225,22.5241,10.1969
157,37,7,0.9765,0.00005000,3.7465,25.6495,11.0892
158,29,6,0.9763,0.00005000,3.3788,22.9109,20.1381
159,58,12,0.9761,0.00005000,3.3839,24.5495,9.1562
160,71,11,0.9760,0.00005000,3.9254,25.8106,7.8394
161,86,13,0.9758,0.00005000,4.8466,26.3810,11.0574
162,55,12,0.9757,0.00005000,4.1519,22.1620,8.4160
163,64,9,0.9756,0.00005000,4.4113,28.3209,10.2891
164,43,11,0.9754,0.00005000,5.5023,21.7849,8.3405
165,103,19,0.9752,0.00005000,3.9630,26.4304,7.9087
166,37,9,0.9751,0.00005000,5.2987,21.6350,11.9627
167,44,12,0.9749,0.00005000,4.4531,21.9734,6.3589
168,45,11,0.9748,0.00005000,3.8395,25.9357,10.1404
169,36,11,0.9747,0.00005000,3.3996,20.7637,7.1797
170,108,14,0.9745,0.00005000,4.2624,28.1550,7.7643
171,82,15,0.9744,0.00005000,3.8696,23.3119,6.4081
172,30,8,0.9742,0.00005000,4.7169,21.1496,8.7024
173,38,10,0.9740,0.00005000,4.2948,21.2696,10.1008
174,48,9,0.9739,0.00005000,4.8356,23.5367,16.0059
175,61,13,0.9738,0.00005000,4.2085,22.3273,14.5835
176,83,13,0.9736,0.00005000,4.7494,25.2038,25.1739
177,39,11,0.9735,0.00005000,6.7194,25.6513,57.2926
178,148,14,0.9733,0.00005000,4.3326,36.4688,36.0476
179,129,19,0.9731,0.00005000,4.6660,31.5777,19.6021
180,41,13,0.9730,0.00005000,4.1972,25.9935,17.3063
181,40,10,0.9728,0.00005000,5.2451,27.5356,11.9567
182,91,16,0.9727,0.00005000,4.1291,28.8326,15.4544
183,42,11,0.9726,0.00005000,3.2444,26.1167,12.4740
184,128,19,0.9724,0.00005000,4.4948,30.9636,18.0888
185,91,16,0.9722,0.00005000,4.3337,29.3497,14.1038
186,45,11,0.9721,0.00005000,4.2100,27.8872,18.7223
187,40,10,0.9719,0.00005000,3.9628,29.5917,13.7890
188,31,8,0.9718,0.00005000,2.5987,25.7251,14.0567
189,156,17,0.9717,0.00005000,5.0646,38.2918,11.3101
190,27,7,0.9715,0.00005000,6.2823,26.0778,15.4772
191,57,10,0.9714,0.00005000,4.1438,31.8200,17.8222
192,26,7,0.9712,0.00005000,3.8227,26.5110,18.2336
193,39,10,0.9710,0.00005000,3.7345,27.6577,19.0476
194,53,8,0.9709,0.00005000,4.3942,35.5562,10.9147
195,48,9,0.9708,0.00005000,4.9947,27.1649,5.3358
196,39,10,0.9706,0.00005000,4.1141,25.4804,10.0770
197,55,12,0.9705,0.00005000,5.1445,29.7332,8.3597
198,78,16,0.9703,0.00005000,3.5453,29.6002,12.1758
199,59,13,0.9701,0.00005000,3.5191,27.2803,11.7097
200,33,8,0.9700,0.00005000,3.0972,28.9773,18.5037
201,32,8,0.9698,0.00005000,4.5979,28.5353,24.6546
202,159,17,0.9697,0.00005000,4.7072,34.3019,20.4215
203,124,16,0.9696,0.00005000,4.3702,33.7533,12.7097
204,62,11,0.9694,0.00005000,4.5843,29.6296,13.3869
205,46,10,0.9692,0.00005000,5.0319,27.8839,8.4385
206,57,11,0.9691,0.00005000,4.9174,29.3297,19.1863
207,112,14,0.9689,0.00005000,3.3661,37.1359,18.1802
208,46,9,0.9688,0.00005000,4.5479,27.9044,19.2579
209,43,11,0.9687,0.00005000,4.4542,29.2431,11.3486
210,72,13,0.9685,0.00005000,4.4626,30.1023,6.9068
211,29,8,0.9684,0.00005000,5.2013,27.8245,15.8058
212,34,9,0.9682,0.00005000,4.8547,25.2613,14.8456
213,34,7,0.9680,0.00005000,4.1662,32.6391,19.2933
214,26,6,0.9679,0.00005000,2.7392,26.7255,13.0657
215,133,18,0.9677,0.00005000,4.4153,31.2067,10.9462
216,29,8,0.9676,0.00005000,4.7566,25.2143,10.8300
217,36,8,0.9675,0.00005000,4.1283,27.5658,19.7659
218,24,7,0.9673,0.00005000,5.1449,24.9136,14.9079
219,34,7,0.9671,0.00005000,5.7329,27.0642,10.5879
220,54,11,0.9670,0.00005000,5.1599,28.7719,14.7324
221,87,17,0.9668,0.00005000,6.8984,28.9158,59.6888
222,61,12,0.9667,0.00005000,5.6067,35.4124,39.4029
223,44,11,0.9666,0.00005000,5.5851,29.6313,36.9841
224,54,11,0.9664,0.00005000,4.3712,34.4163,20.3389
225,39,9,0.9663,0.00005000,4.3594,33.9119,9.6601
226,42,11,0.9661,0.00005000,4.5691,30.7758,12.3392
227,53,13,0.9659,0.00005000,5.1683,30.9878,19.0003
228,52,10,0.9658,0.00005000,5.3768,35.9581,21.5709
229,42,11,0.9657,0.00005000,6.1057,28.9870,15.3360
230,41,10,0.9655,0.00005000,5.2424,34.4651,15.3921
231,56,11,0.9654,0.00005000,5.3079,32.0143,21.0534
232,54,12,0.9652,0.00005000,5.4316,31.9662,16.2455
233,58,15,0.9650,0.00005000,5.9781,31.3740,15.8928
234,62,13,0.9649,0.00005000,4.6113,34.7253,18.8968
235,79,13,0.9647,0.00005000,5.2902,33.6335,17.4071
236,45,11,0.9646,0.00005000,4.5762,33.0584,15.5344
237,87,17,0.9645,0.00005000,4.2136,31.2223,9.1175
238,33,9,0.9643,0.00005000,6.3433,29.0798,20.0054
239,30,8,0.9641,0.00005000,4.2142,30.5347,15.7403
240,29,7,0.9640,0.00005000,5.9911,31.2129,15.9530
241,45,8,0.9638,0.00005000,4.3922,36.9640,16.3876
242,77,14,0.9637,0.00005000,4.9633,33.3588,15.7362
243,30,8,0.9636,0.00005000,4.7103,29.8360,13.0645
244,33,9,0.9634,0.00005000,5.6640,30.9435,11.6692
245,86,13,0.9633,0.00005000,4.7451,37.2806,10.2201
246,60,13,0.9631,0.00005000,4.5586,34.4152,13.3966
247,90,15,0.9629,0.00005000,5.5430,37.9892,14.9806
248,60,12,0.9628,0.00005000,3.8154,35.3195,10.9719
249,60,13,0.9627,0.00005000,4.1671,34.0739,10.2315
250,33,9,0.9625,0.00005000,5.5860,30.9593,12.5688
251,41,8,0.9624,0.00005000,4.8387,32.4154,16.2169
252,59,14,0.9622,0.00005000,3.2500,32.2442,16.6512
253,120,16,0.9620,0.00005000,4.6895,36.1116,15.4748
254,91,13,0.9619,0.00005000,4.4246,38.0279,14.5185
255,200,18,0.9617,0.00005000,5.4691,37.9342,15.0824
256,44,14,0.9616,0.00005000,5.1702,30.8458,11.6218
257,39,10,0.9615,0.00005000,5.4823,29.9690,11.0712
258,41,11,0.9613,0.00005000,5.0942,32.1754,22.3895
259,35,9,0.9611,0.00005000,5.2225,30.1525,14.1937
260,58,11,0.9610,0.00005000,4.4637,33.1283,14.8331
261,36,10,0.9608,0.00005000,4.5520,30.7490,13.1594
262,81,11,0.9607,0.00005000,5.0854,35.4720,18.3658
263,47,9,0.9606,0.00005000,3.3807,31.1442,15.2619
264,55,12,0.9604,0.00005000,7.1841,34.4703,68.8350
265,34,9,0.9603,0.00005000,6.4625,33.1491,48.8703
266,35,9,0.9601,0.00005000,5.8421,37.7691,54.5839
267,28,6,0.9599,0.00005000,6.3506,36.3770,32.2539
268,42,10,0.9598,0.00005000,5.1455,37.2036,19.5375
269,55,11,0.9597,0.00005000,5.2898,37.1528,20.9352
270,33,9,0.9595,0.00005000,6.0859,34.9049,21.4611
271,112,16,0.9594,0.00005000,4.3653,41.1221,14.9357
272,86,12,0.9592,0.00005000,5.4183,46.6573,20.0939
273,26,6,0.9590,0.00005000,6.3532,37.4981,19.3980
274,55,10,0.9589,0.00005000,4.5219,43.2847,22.2991
275,38,10,0.9587,0.00005000,4.6910,38.6666,13.0921
276,49,10,0.9586,0.00005000,5.5179,38.0850,15.0136
277,37,11,0.9585,0.00005000,5.4388,33.7792,23.9077
278,39,11,0.9583,0.00005000,4.4775,36.5134,16.1670
279,44,11,0.9582,0.00005000,4.1716,35.8220,12.7777
280,30,7,0.9580,0.00005000,3.6482,36.9973,15.4163
281,30,8,0.9578,0.00005000,3.5907,36.5409,16.4130
282,37,9,0.9577,0.00005000,5.2399,38.7581,17.0917
283,48,8,0.9576,0.00005000,3.7392,40.4430,34.0368
284,61,13,0.9574,0.00005000,6.8440,38.0813,28.1422
285,87,13,0.9573,0.00005000,3.9622,47.0001,21.6559
286,29,6,0.9571,0.00005000,4.9401,40.6755,15.7059
287,75,13,0.9569,0.00005000,4.6296,43.3068,16.1095
288,74,14,0.9568,0.00005000,5.2570,41.8966,19.6731
289,40,11,0.9567,0.00005000,5.9774,36.3892,22.1900
290,72,13,0.9565,0.00005000,5.3899,40.1381,15.1309
291,80,17,0.9564,0.00005000,4.0397,36.2778,16.1761
292,66,13,0.9562,0.00005000,4.7718,39.6154,16.9921
293,35,8,0.9560,0.00005000,4.4713,38.6843,25.2261
294,38,7,0.9559,0.00005000,4.6298,42.6115,15.2245
295,60,14,0.9557,0.00005000,5.2521,38.1769,23.3029
296,33,9,0.9556,0.00005000,6.1328,35.1950,13.9660
297,55,12,0.9555,0.00005000,5.3170,41.0002,14.5203
298,40,9,0.9553,0.00005000,5.4367,36.3414,14.5003
299,127,15,0.9551,0.00005000,4.5103,40.4157,18.9088
300,39,11,0.9550,0.00005000,6.4345,36.0189,19.4932
301,38,10,0.9548,0.00005000,5.3905,37.5204,19.6510
302,170,18,0.9547,0.00005000,4.7028,43.6735,14.5125
303,62,13,0.9546,0.00005000,4.3033,41.1832,15.3417
304,35,10,0.9544,0.00005000,4.5427,35.3078,20.6688
305,30,8,0.9543,0.00005000,7.6664,37.1575,14.2680
306,33,9,0.9541,0.00005000,6.4771,35.1652,16.9218
307,39,6,0.9539,0.00005000,4.9056,39.6946,15.4068
