episode,score,steps,epsilon,lr,loss,avg_v,grad_norm
100,106,16,0.9850,0.00004963,3.0880,21.5471,0.0000
101,70,12,0.9849,0.00004962,4.3546,17.5720,0.0000
102,27,6,0.9847,0.00004962,1.8486,17.6454,0.0000
103,75,13,0.9846,0.00004961,4.3692,22.3708,0.0000
104,130,19,0.9844,0.00004961,4.7529,22.2050,0.0000
105,40,10,0.9842,0.00004961,3.8931,17.1928,0.0000
106,110,15,0.9841,0.00004960,3.9616,19.8087,0.0000
107,32,8,0.9839,0.00004960,4.9117,17.8995,0.0000
108,173,20,0.9838,0.00004960,4.2349,24.8453,0.0000
109,42,11,0.9837,0.00004959,5.1998,19.8652,0.0000
110,265,18,0.9835,0.00004959,4.0017,28.0565,0.0000
111,35,8,0.9833,0.00004958,3.4795,18.1857,0.0000
112,55,11,0.9832,0.00004958,3.7649,18.6928,0.0000
113,32,8,0.9830,0.00004958,3.6542,18.0454,0.0000
114,28,8,0.9829,0.00004957,4.6657,17.7981,0.0000
115,26,7,0.9828,0.00004957,2.9462,16.9324,0.0000
116,39,11,0.9826,0.00004957,4.4530,18.0139,0.0000
117,58,12,0.9825,0.00004956,3.4680,18.9939,0.0000
118,62,14,0.9823,0.00004956,3.2415,17.8459,0.0000
119,43,12,0.9821,0.00004955,3.7473,15.1278,0.0000
120,37,10,0.9820,0.00004955,3.8334,15.6315,0.0000
121,33,8,0.9819,0.00004955,3.3341,22.8111,0.0000
122,35,8,0.9817,0.00004954,3.6865,16.8588,0.0000
123,166,20,0.9816,0.00004954,3.7028,23.5936,0.0000
124,26,6,0.9814,0.00004953,3.7985,18.3548,0.0000
125,120,17,0.9812,0.00004953,4.1212,22.2269,0.0000
126,41,11,0.9811,0.00004953,3.4447,16.6842,0.0000
127,33,9,0.9809,0.00004952,5.1642,15.8785,0.0000
128,163,18,0.9808,0.00004952,4.7590,22.0577,0.0000
129,33,8,0.9807,0.00004952,6.5351,16.9001,0.0000
130,52,9,0.9805,0.00004951,7.3241,22.1222,0.0000
131,89,15,0.9804,0.00004951,5.0987,23.1316,0.0000
132,86,13,0.9802,0.00004951,5.1226,26.1617,0.0000
133,30,6,0.9800,0.00004950,4.4084,24.7760,0.0000
134,29,6,0.9799,0.00004950,3.1716,24.3958,0.0000
135,46,12,0.9798,0.00004949,3.5258,23.2472,0.0000
136,39,10,0.9796,0.00004949,3.9281,19.4794,0.0000
137,79,12,0.9795,0.00004949,4.5421,23.4157,0.0000
138,28,7,0.9793,0.00004948,4.2941,20.9785,0.0000
139,40,10,0.9791,0.00004948,2.7769,21.7328,0.0000
140,57,10,0.9790,0.00004948,4.5358,27.1059,0.0000
141,85,15,0.9788,0.00004947,4.0076,23.7041,0.0000
142,25,7,0.9787,0.00004947,3.0077,22.3359,0.0000
143,53,10,0.9786,0.00004946,4.1302,25.8636,0.0000
144,67,12,0.9784,0.00004946,4.3305,24.4119,0.0000
145,31,7,0.9782,0.00004946,3.8865,21.8338,0.0000
146,58,12,0.9781,0.00004945,6.3802,21.2257,0.0000
147,75,15,0.9779,0.00004945,5.7097,24.7585,0.0000
148,110,15,0.9778,0.00004945,4.3324,26.1911,0.0000
149,80,11,0.9777,0.00004944,4.0780,25.9161,0.0000
150,38,9,0.9775,0.00004944,4.0259,24.7427,0.0000
151,41,10,0.9774,0.00004943,4.2088,23.1828,0.0000
152,89,14,0.9772,0.00004943,3.8658,23.3348,0.0000
153,45,12,0.9770,0.00004943,4.2024,20.2599,0.0000
154,54,10,0.9769,0.00004942,5.0540,26.1996,0.0000
155,43,11,0.9768,0.00004942,5.0484,24.5702,0.0000
156,39,9,0.9766,0.00004942,3.8413,21.8835,0.0000
157,33,8,0.9765,0.00004941,4.0101,23.6357,0.0000
158,60,11,0.9763,0.00004941,4.0243,22.5885,0.0000
159,60,15,0.9761,0.00004940,5.2277,22.8817,0.0000
160,168,16,0.9760,0.00004940,3.7613,36.2487,0.0000
161,41,11,0.9758,0.00004940,5.8119,20.8467,0.0000
162,54,9,0.9757,0.00004939,5.0386,25.3924,0.0000
163,36,9,0.9756,0.00004939,5.0076,21.8680,0.0000
164,133,19,0.9754,0.00004939,4.6778,24.7786,0.0000
165,32,8,0.9752,0.00004938,4.9575,23.9641,0.0000
166,27,6,0.9751,0.00004938,4.4275,23.5678,0.0000
167,41,11,0.9749,0.00004937,3.0880,23.0414,0.0000
168,74,15,0.9748,0.00004937,3.7957,25.9022,0.0000
