seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,7946,35,36,108,0.059517779920841694,2.2021578570711426
5001,9693,34,42,126,0.05950188069458141,2.5585808698670007
5002,10212,36,48,144,0.0627919461682667,3.076805362245068
5003,5657,26,33,99,0.06312554297105902,2.1462684610160068
5004,36451,57,146,438,0.05652673609656136,8.30943020619452
5005,6236,28,34,102,0.055392976402903776,1.938754174101632
5006,652,10,8,24,0.06295329267029753,0.5665796340326779
5007,10944,32,57,171,0.06119595383944247,3.549365322687663
5008,25504,63,81,243,0.0550987520879816,4.518097671214491
5009,35500,82,66,198,0.05457023043470429,3.6562054391251877
5010,2636,21,19,57,0.06384468205444711,1.213048959034495
5011,2586,18,23,69,0.05490549537838282,1.3177318890811875
5012,3230,24,19,57,0.05928196905006189,1.1856393810012378
5013,37360,77,108,324,0.05702826792402022,6.216081203718204
5014,3423,18,28,84,0.05512003834431606,1.5984811119851656
5015,2282,20,15,45,0.062171985184249934,0.9947517629479989
5016,7045,26,46,138,0.052981854787968255,2.490147175034508
5017,40958,76,94,282,0.055230556709667374,5.2469028874184005
5018,10441,40,46,138,0.06505025936008253,3.0573621899238788
5019,5855,24,43,129,0.058567192318150774,2.576956461998634
5020,46484,62,167,501,0.05529829398160689,9.290113388909958
5021,4226,27,25,75,0.061990143202710894,1.5497535800677724
5022,3981,25,24,72,0.05619774644263089,1.4049436610657722
5023,8935,26,58,174,0.0572961240570787,3.3804713193676434
5024,1681,17,12,36,0.05668060061557648,0.7368478080024943
5025,6381,28,37,111,0.06130937510323221,2.329756253922824
5026,14574,49,54,162,0.05773112007035789,3.175211603869684
5027,9689,30,60,180,0.06189112760962491,3.7753587841871195
5028,2069,19,14,42,0.06369973600764449,0.9554960401146673
5029,3079,21,26,78,0.05488852810769997,1.4819902589078993
5030,8126,39,27,81,0.05112361303430849,1.4314611649606377
5031,6842,31,29,87,0.06160911239955264,1.8482733719865791
5032,3322,19,30,90,0.05923655280663121,1.8363331370055676
5033,6506,23,40,120,0.05549423068494922,2.275263458082918
5034,2273,20,15,45,0.06436938043407281,1.029910086945165
5035,3543,25,21,63,0.06649844237836078,1.3964672899455763
5036,8055,24,57,171,0.05720672576090096,3.3179900941322558
5037,3484,25,18,54,0.06542889068001195,1.243148922920227
5038,7099,33,42,126,0.055945900762940995,2.405673732806463
5039,8356,35,39,117,0.05567525492660934,2.2270101970643736
5040,8047,31,47,141,0.06324273046144906,3.0356510621495545
5041,9917,43,33,99,0.05855349377174314,1.9908187882392667
5042,26867,44,124,372,0.06048904890473932,7.561131113092415
5043,2661,16,25,75,0.06275215476321486,1.6315560238435864
5044,1342,15,12,36,0.06712238846543747,0.872591050050687
5045,3159,19,28,84,0.05733832342405643,1.6628113792976364
5046,818,9,14,42,0.06263422466969738,0.9395133700454608
5047,8789,29,46,138,0.052527609715941656,2.468797656649258
5048,425,7,9,27,0.057582276611356065,0.5758227661135606
5049,4302,21,32,96,0.05179166860144698,1.7091250638477504
5050,3149,22,20,60,0.051426978094414585,1.0799665399827063
5051,9162,36,45,135,0.06157498208947642,2.832449176115915
5052,45459,61,124,372,0.054513529568444935,6.814191196055617
5053,1753,12,21,63,0.07374870990381831,1.6224716178840026
5054,19099,42,97,291,0.05822217214629244,5.705772870336659
5055,41110,41,170,510,0.060312730964472004,10.313476994924713
5056,3731,26,19,57,0.055244435596978295,1.1048887119395658
5057,1183,14,12,36,0.06786641130635801,0.8822633469826542
5058,6137,25,42,126,0.06347093097919729,2.729250032105483
5059,12161,48,33,99,0.053323292642530495,1.8129919498460367
5060,6064,21,42,126,0.05955737193255837,2.56096699310001
5061,4809,20,32,96,0.057821185663201366,1.908099126885645
5062,25895,65,65,195,0.05592059659344765,3.690759375167545
5063,3664,25,22,66,0.06571809235332615,1.5115161241265014
5064,8476,33,41,123,0.06001528010043936,2.5206417642184533
5065,2910,19,26,78,0.058882107410614414,1.5898169000865892
5066,14225,52,35,105,0.06716249260514612,2.4178497337852605
5067,2137,19,17,51,0.05880013355636038,1.0584024040144868
5068,2103,17,18,54,0.05973720822274979,1.135006956232246
5069,13694,49,42,126,0.06393722641460467,2.749300735828001
5070,19780,35,106,318,0.05754115078522101,6.156903134018648
5071,12878,48,42,126,0.058465966651606006,2.5140365660190582
5072,2476,21,15,45,0.05964844587651896,0.9543751340243034
5073,16296,52,53,159,0.05786713232057837,3.0669580129906535
5074,7205,27,36,108,0.0650253786746337,2.405939010961447
5075,15729,24,95,285,0.055362960571680254,5.314844214881305
5076,2886,18,22,66,0.06556525487331269,1.5080008620861918
5077,383,7,8,24,0.06844253422847639,0.6159828080562875
5078,162,4,5,15,0.058691842500896506,0.352151055005379
5079,2965,23,18,54,0.062316316360681266,1.184010010852944
5080,4617,16,43,129,0.054789550388126045,2.410740217077546
5081,5952,33,25,75,0.06149558184104255,1.5988851278671063
5082,628,9,10,30,0.06737773872340437,0.741155125957448
5083,1699,17,14,42,0.05093983294209466,0.7640974941314198
5084,57826,106,75,225,0.06212665038382463,4.721625429170672
5085,2306,18,20,60,0.06478680967674813,1.3605230032117106
5086,3296,15,31,93,0.057654245812955196,1.8449358660145663
5087,11394,41,45,135,0.062075266828406195,2.855462274106685
5088,15645,32,73,219,0.05575741626042243,4.12604880327126
5089,13353,38,52,156,0.062447740582151794,3.309730250854045
