episode,score,steps,epsilon,loss,avg_q
1,60,13,0.9962,0.0000,0.0469
2,43,11,0.9924,0.0000,0.0597
3,34,9,0.9886,6.7179,0.0627
4,43,11,0.9848,6.2063,0.1186
5,38,9,0.9810,6.0681,0.3305
6,89,14,0.9772,5.6921,0.9517
7,41,11,0.9734,4.9111,3.3277
8,36,9,0.9696,5.1615,4.8672
9,134,18,0.9658,4.7118,5.5526
10,37,8,0.9620,3.6927,6.0332
11,120,16,0.9582,3.7666,6.8979
12,53,10,0.9544,4.4318,8.1866
13,58,11,0.9506,4.4221,7.3838
14,37,10,0.9468,3.7089,8.0907
15,58,12,0.9430,3.1274,7.6376
16,62,13,0.9392,3.2812,6.0241
17,57,13,0.9354,4.2913,6.6823
18,33,7,0.9316,3.5472,6.1932
19,27,9,0.9278,4.2128,6.3891
20,34,8,0.9240,3.2899,6.3342
21,85,15,0.9202,3.6190,6.2613
22,60,13,0.9164,3.2317,4.6688
23,77,14,0.9126,2.2107,5.7822
24,75,13,0.9088,3.1634,6.3813
25,29,7,0.9050,2.6552,5.6763
26,33,8,0.9012,3.9237,6.0536
27,43,11,0.8974,2.6483,6.3262
28,49,10,0.8936,3.4450,5.3286
29,61,13,0.8898,3.6145,5.7010
30,111,14,0.8860,3.2373,5.6509
31,29,7,0.8822,4.8271,5.6812
32,59,14,0.8784,3.6671,5.4875
33,30,8,0.8746,3.2879,5.5718
34,40,11,0.8708,4.5374,5.5019
35,78,16,0.8670,3.8863,6.3941
36,83,16,0.8632,3.2962,5.3159
37,38,11,0.8594,3.4025,6.0535
38,55,10,0.8556,3.2905,6.4874
39,75,11,0.8518,3.7050,6.1069
40,84,16,0.8480,3.9047,5.1749
41,36,9,0.8442,4.5391,5.4074
42,39,11,0.8404,2.8869,5.6718
43,42,13,0.8366,3.0743,5.1502
44,28,7,0.8328,3.0707,5.1720
45,34,9,0.8290,4.1504,5.3442
46,55,10,0.8252,2.9561,5.5952
47,54,12,0.8214,2.7707,4.5231
48,40,10,0.8176,7.1802,6.4457
49,42,11,0.8138,4.9559,12.0833
50,30,7,0.8100,3.3770,9.9887
51,84,14,0.8062,4.4566,10.8774
52,118,21,0.8024,4.8050,9.5620
53,120,17,0.7986,3.9559,10.4978
54,41,10,0.7948,4.5806,10.7741
55,75,12,0.7910,5.2772,10.6973
56,48,12,0.7872,5.0945,9.8274
57,36,11,0.7834,4.2731,9.4302
58,39,11,0.7796,5.1988,9.9208
59,38,9,0.7758,3.3301,10.0962
60,80,12,0.7720,3.6775,10.2432
61,57,12,0.7682,3.3011,10.5882
62,41,11,0.7644,3.6183,9.8566
63,119,17,0.7606,4.1119,9.6612
64,46,12,0.7568,4.0585,10.0552
65,47,7,0.7530,3.2295,11.1901
66,33,10,0.7492,4.5861,10.0993
67,39,10,0.7454,3.4167,9.9553
68,37,10,0.7416,4.7776,9.8918
69,50,9,0.7378,3.6735,10.7930
70,220,21,0.7340,4.4865,9.9766
71,42,11,0.7302,4.6224,10.2644
72,34,8,0.7264,4.1363,10.4873
73,205,22,0.7226,4.7603,10.3755
74,50,10,0.7188,4.1853,10.3677
75,40,9,0.7150,4.0273,10.5893
76,42,11,0.7112,3.3305,9.8954
77,35,12,0.7074,4.5487,10.0428
78,108,18,0.7036,3.8660,10.1962
79,62,13,0.6998,3.1441,10.3284
80,59,14,0.6960,4.2130,9.7293
81,42,10,0.6922,5.2309,10.1745
82,32,8,0.6884,3.0141,10.4074
83,55,13,0.6846,3.2997,9.8682
84,42,11,0.6808,3.1821,9.2433
85,121,15,0.6770,4.6583,10.8657
86,27,8,0.6732,3.7740,9.9716
87,84,12,0.6694,4.2888,11.1768
88,35,9,0.6656,4.5458,10.5423
89,62,15,0.6618,6.0206,9.6964
90,42,11,0.6580,4.3383,17.2300
91,87,13,0.6542,5.2003,15.9120
92,36,9,0.6504,4.3758,14.8082
93,37,9,0.6466,4.9532,14.5652
94,56,12,0.6428,4.9900,15.5367
95,52,10,0.6390,5.1864,14.9642
96,39,10,0.6352,5.4564,15.0494
97,94,15,0.6314,4.0312,17.7529
98,27,6,0.6276,5.3274,17.1051
99,58,13,0.6238,4.8423,15.5011
100,56,11,0.6200,4.6731,15.6253
101,41,11,0.6162,5.3674,15.5028
102,39,10,0.6124,3.9137,16.1686
103,93,17,0.6086,3.3004,15.5482
104,43,12,0.6048,3.6814,15.5383
105,70,12,0.6010,3.6113,15.2724
106,55,11,0.5972,3.6426,15.2460
107,68,17,0.5934,5.0497,15.6333
108,37,10,0.5896,3.7400,15.9428
109,192,22,0.5858,4.4357,14.9920
110,114,20,0.5820,3.4278,15.9174
111,124,14,0.5782,5.2798,16.3310
112,101,14,0.5744,3.6313,17.0827
113,38,9,0.5706,3.8197,16.0291
114,36,9,0.5668,3.8565,15.0570
115,48,9,0.5630,3.1398,15.5154
116,54,11,0.5592,4.1846,15.8776
117,41,11,0.5554,3.9822,15.1835
118,169,20,0.5516,3.8803,16.1615
119,57,12,0.5478,3.8982,16.4864
120,40,11,0.5440,4.4898,15.6899
121,105,13,0.5402,5.0182,14.7151
122,52,11,0.5364,4.9798,14.5446
123,51,10,0.5326,5.0077,15.2765
124,54,12,0.5288,3.6745,15.4968
125,89,15,0.5250,4.3590,16.6024
126,56,11,0.5212,4.1984,16.8385
127,81,12,0.5174,3.7202,15.3487
128,49,10,0.5136,2.9208,15.3062
129,37,10,0.5098,4.1098,16.1399
130,219,18,0.5060,6.1191,16.5099
131,63,13,0.5022,6.4013,24.8168
132,45,12,0.4984,5.0834,20.0146
