rollout,total_steps,avg_score,avg_steps,policy_loss,value_loss,entropy
1,2048,67.44,12.14,0.1539,3263.5832,1.9892
2,4096,59.41,11.30,0.0241,2778.0692,2.0336
3,6144,62.60,11.50,0.0346,2654.5483,2.0402
4,8192,59.06,11.46,0.0228,2830.8384,2.0552
5,10240,61.65,11.81,0.0312,2622.7568,2.0743
6,12288,64.40,11.55,0.0276,3070.5949,2.0775
7,14336,60.20,11.57,0.0213,2702.3768,2.0401
8,16384,60.78,11.43,0.0158,2998.8705,2.0663
9,18432,59.85,11.26,0.0098,3002.4211,2.0569
10,20480,55.56,11.04,0.0155,3296.3277,2.0963
11,22528,58.32,10.92,0.0134,3691.4359,2.0294
12,24576,68.61,11.86,0.0152,3801.9389,1.9970
13,26624,53.23,10.84,0.0297,2549.4006,2.0776
14,28672,53.58,10.60,0.0077,2790.2617,2.0391
15,30720,66.93,11.94,0.0181,3209.7594,1.9320
16,32768,69.89,12.39,0.0213,3793.0297,1.9511
17,34816,64.14,11.87,0.0378,3690.2462,1.8869
18,36864,62.11,11.75,0.0164,2885.2597,1.9608
19,38912,70.76,12.55,0.0163,3870.7351,1.8436
20,40960,61.11,11.67,0.0234,3316.3462,1.9061
21,43008,62.02,11.71,0.0123,3325.5061,1.8491
22,45056,61.83,11.61,0.0106,2859.0926,1.9089
23,47104,63.73,11.65,0.0169,3885.7803,1.8444
24,49152,61.48,11.61,0.0114,3728.5962,1.8929
25,51200,51.04,10.69,0.0247,3479.3295,1.9676
26,53248,60.66,11.53,0.0485,3742.9624,1.8736
27,55296,63.06,11.67,0.0371,4241.0518,1.7343
28,57344,70.39,11.87,0.0095,4361.6910,1.7222
29,59392,66.50,11.97,0.0189,3965.7353,1.6613
30,61440,72.15,12.39,0.0044,3400.7818,1.5685
31,63488,67.60,12.26,0.0096,3356.9892,1.6852
32,65536,60.83,11.41,0.0152,3470.7246,1.8098
33,67584,70.62,11.94,0.0205,4000.1618,1.7145
34,69632,68.97,12.39,0.0257,4036.5586,1.7700
35,71680,63.15,11.74,0.0172,3869.5874,1.7397
36,73728,64.54,11.67,0.0016,3831.8766,1.8173
37,75776,63.14,11.80,0.0044,3174.0673,1.7875
38,77824,60.55,11.61,0.0110,3129.6699,1.8271
39,79872,63.52,11.59,0.0012,2726.0444,1.8757
40,81920,67.93,12.05,0.0088,3006.4600,1.7840
41,83968,64.67,12.00,0.0167,3482.0072,1.7796
42,86016,66.00,11.95,0.0137,2999.0004,1.7286
43,88064,59.71,11.43,0.0165,2625.2914,1.8035
44,90112,66.46,11.65,0.0381,3872.5505,1.6988
45,92160,60.15,11.18,0.0399,4281.1265,1.8054
46,94208,63.35,11.64,0.0102,4086.1340,1.8438
47,96256,59.25,11.29,0.0175,2851.8015,1.8360
48,98304,63.04,11.41,0.0118,3457.7702,1.7745
49,100352,64.99,11.56,0.0257,3113.2999,1.9114
50,102400,60.92,11.51,0.0155,3098.6869,1.9114
51,104448,61.86,11.06,0.0223,3067.4448,1.9103
52,106496,64.06,11.81,0.0079,3359.7632,1.9542
53,108544,64.60,11.64,0.0190,3044.6134,1.8708
54,110592,60.07,11.59,0.0092,3168.3759,1.9993
55,112640,57.53,11.37,0.0065,2711.0544,1.9583
56,114688,62.26,11.75,0.0093,3496.6703,1.9536
57,116736,56.09,10.75,0.0142,4196.8722,1.9593
58,118784,61.74,11.43,0.0224,3166.8677,1.9955
59,120832,69.15,12.02,0.0122,3907.1106,1.9100
60,122880,61.14,11.53,0.0228,3182.8533,1.9075
61,124928,60.84,11.52,0.0172,2733.6523,1.9276
62,126976,63.98,11.43,0.0121,3534.8535,1.9832
63,129024,70.87,12.34,0.0132,3471.0881,1.8732
64,131072,62.14,11.62,0.0163,4050.2629,1.8566
65,133120,64.81,11.84,0.0268,3413.5276,1.7355
66,135168,58.80,11.44,0.0333,3229.3521,1.8408
67,137216,59.75,11.50,0.0157,2718.7885,1.8627
68,139264,60.38,11.31,0.0232,3014.5629,2.0380
69,141312,60.35,11.46,0.0139,3355.6019,1.9704
70,143360,56.88,11.27,0.0104,2905.7835,1.9741
71,145408,61.05,11.67,0.0165,2977.5038,2.0022
72,147456,62.92,11.25,0.0113,3899.8486,1.9544
73,149504,57.57,11.16,0.0091,3532.8297,2.0166
74,151552,63.74,11.82,0.0057,3118.6868,1.9560
75,153600,61.15,11.58,0.0125,3759.4364,1.9460
76,155648,72.46,12.35,0.0126,4548.0983,1.9061
77,157696,62.30,11.78,0.0075,3127.1970,1.9444
78,159744,76.40,12.38,0.0408,4047.1858,1.8882
79,161792,62.68,11.69,0.0380,3157.4259,1.9371
80,163840,65.06,11.84,0.0433,3214.8495,1.9160
81,165888,68.45,12.04,0.0282,4140.7332,1.9645
82,167936,57.91,11.35,0.0240,4250.6158,2.0081
83,169984,67.38,11.79,0.0209,4074.6865,2.0202
84,172032,69.79,11.97,0.0295,4495.1661,1.9539
85,174080,63.39,11.64,0.0137,3612.6376,2.0399
86,176128,61.67,11.60,0.0143,4500.7402,1.9794
87,178176,62.63,11.49,0.0095,3226.6731,2.0094
88,180224,66.82,11.96,0.0022,3675.0558,1.9840
89,182272,70.84,12.17,0.0084,3908.3567,1.9637
90,184320,65.03,11.57,0.0051,4374.2909,1.9738
91,186368,68.26,11.98,0.0093,4807.2052,1.9836
92,188416,66.93,12.02,0.0179,3728.7542,1.9855
93,190464,62.35,11.55,0.0266,3276.9029,2.0101
94,192512,58.14,11.40,0.0185,3489.1753,2.0457
95,194560,58.98,11.37,0.0182,2974.7655,2.0625
96,196608,64.12,11.60,0.0160,3670.7845,2.0423
97,198656,59.36,11.35,0.0246,3114.2113,2.0320
98,200704,53.06,11.06,0.0089,4049.8130,2.0182
99,202752,62.79,11.41,0.0088,3492.6676,2.0239
100,204800,66.61,11.98,0.0207,3917.6059,1.9272
101,206848,57.55,11.39,0.0286,3307.0366,1.9781
102,208896,61.84,11.29,0.0236,3331.4050,1.9585
103,210944,51.96,10.82,0.0091,3239.3753,2.0437
104,212992,57.22,11.09,0.0275,3372.8794,2.0455
105,215040,58.61,11.04,0.0136,4258.2175,2.0217
106,217088,60.50,11.44,0.0087,3220.4243,2.0829
107,219136,58.15,11.21,0.0217,3407.8658,2.0727
108,221184,56.67,11.01,0.0296,3688.3448,2.0006
109,223232,67.97,12.04,0.0228,4190.4983,1.8816
110,225280,64.36,11.56,0.0179,4405.3614,1.9679
111,227328,53.27,10.64,0.0307,2691.7070,1.9749
112,229376,66.69,11.48,0.0657,4111.4871,1.7948
113,231424,57.67,11.29,0.0250,3313.5252,1.8765
114,233472,65.21,11.92,0.0153,3449.5036,1.8277
115,235520,53.93,11.02,0.0128,2860.5173,1.9352
116,237568,59.42,11.37,0.0205,3271.1119,1.9420
117,239616,62.41,11.83,0.0433,3456.8132,1.8874
118,241664,59.96,11.31,0.0305,3506.5806,1.8317
119,243712,71.59,12.47,0.0270,3358.3604,1.8160
120,245760,63.49,11.75,0.0376,2871.1143,1.6600
121,247808,61.46,11.20,0.0394,3693.9670,1.7270
122,249856,63.04,11.35,0.0392,3522.9362,1.5447
123,251904,70.85,12.54,0.0378,3828.3969,1.4731
124,253952,71.68,12.33,0.0455,3506.8640,1.5123
125,256000,62.13,11.78,0.0330,3077.6455,1.5618
126,258048,62.18,11.67,0.0347,2622.6793,1.6057
127,260096,64.73,11.68,0.0418,2642.1176,1.5772
