seed,final_score,max_combo,hands_played,pieces_placed,avg_move_time_sec,total_move_time_sec
5000,97361,136,109,327,0.0634689579556421,6.9815853751206305
5001,16157,27,100,300,0.0638118048986918,6.4449922947678715
5002,23338,66,54,162,0.0614973382177678,3.382353601977229
5003,5117,24,33,99,0.06720908503013882,2.28510889102472
5004,1071,13,12,36,0.056209516075726315,0.730723708984442
5005,1469,15,13,39,0.06690443128588543,0.936662038002396
5006,10199,38,45,135,0.0627598756292845,2.886954278947087
5007,25896,54,83,249,0.06812108608504613,5.722171231143875
5008,18122,33,102,306,0.05835184665793526,6.010240205767332
5009,868,11,12,36,0.05241127608370824,0.6813465890882071
5010,36124,47,164,492,0.06323902585427277,10.434439265955007
5011,39390,85,77,231,0.06132319614213581,4.783209299086593
5012,8111,27,46,138,0.06052434955354522,2.8446444290166255
5013,4576,27,28,84,0.06723344131123982,1.9497697980259545
5014,20257,36,92,276,0.06562775981885391,6.103381663153414
5015,412,6,9,27,0.06933665629767347,0.6933665629767347
5016,5653,23,32,96,0.06114595508993124,2.0178165179677308
5017,11657,33,49,147,0.057643251296831295,2.8821625648415647
5018,9210,37,39,117,0.06864735700073651,2.745894280029461
5019,24133,68,52,156,0.06457083151106863,3.4222540700866375
5020,31399,47,149,447,0.06375641013321001,9.563461519981502
5021,4510,27,29,87,0.06158107030807577,1.7858510389341973
5022,327,6,7,21,0.0662958567518217,0.5303668540145736
5023,21810,43,108,324,0.06404006617371241,6.980367212934652
5024,19928,39,105,315,0.06388027226236069,6.771308859810233
5025,2755,17,24,72,0.059710860119666906,1.4927715029916726
5026,69,2,3,9,0.040637756741489284,0.16255102696595713
5027,34208,48,121,363,0.06267631060556417,7.646509893878829
5028,1879,18,14,42,0.059536970461097856,0.8930545569164678
5029,5237,31,24,72,0.06347840527771041,1.5869601319427602
5030,54772,77,137,411,0.05989345415276846,8.265296673082048
5031,5405,21,35,105,0.06458891136571765,2.3252008091658354
5032,17064,32,79,237,0.06487553838815074,5.1900430710520595
5033,8068,25,49,147,0.06213955590093974,3.106977795046987
5034,15562,46,67,201,0.06348070167715537,4.316687714046566
5035,564,9,9,27,0.07217422879766673,0.7217422879766673
5036,8859,28,56,168,0.06208707021218479,3.5389630020945333
5037,18465,58,51,153,0.06054726296245532,3.148457674047677
5038,16028,50,57,171,0.06273626031279805,3.6387030981422868
5039,6186,20,39,117,0.062154463576735,2.4861785430694
5040,18176,53,62,186,0.06360542522013439,4.007141788868466
5041,27056,46,105,315,0.06721109250930515,7.124375805986347
5042,67492,93,138,414,0.0621102265102819,8.633321484929183
5043,6231,34,25,75,0.06492532273226131,1.688058391038794
