episode,score,steps,epsilon,loss,avg_v
1,55,12,1.0000,0.0000,7.0584
2,89,15,1.0000,0.0000,7.9083
3,35,11,0.9999,7.4641,3.2003
4,119,14,0.9999,7.5819,8.8759
5,60,12,0.9999,7.6232,8.5750
6,52,9,0.9999,5.9867,14.4002
7,58,12,0.9998,4.4985,8.8440
8,105,15,0.9998,4.6571,18.0015
9,147,14,0.9998,4.3785,14.8974
10,44,12,0.9998,5.0276,9.1118
11,31,8,0.9998,2.9514,9.4829
12,119,14,0.9997,5.9060,13.5408
13,42,12,0.9997,4.9590,9.5701
14,119,15,0.9997,6.2929,15.6253
15,84,15,0.9997,4.8217,10.0156
16,36,10,0.9996,4.9137,9.0124
17,47,12,0.9996,4.3039,7.9353
18,133,17,0.9996,3.5135,13.4130
19,43,13,0.9996,2.7216,8.4102
20,55,11,0.9996,4.7855,12.1576
21,40,10,0.9995,4.6467,9.1819
22,33,8,0.9995,4.7228,11.0243
23,33,8,0.9995,4.7171,8.2236
24,32,8,0.9995,5.2517,10.9130
25,33,8,0.9994,5.1738,10.0122
26,101,17,0.9994,4.5180,12.0417
27,168,16,0.9994,4.2605,23.5720
28,41,9,0.9994,4.6531,12.1213
29,38,9,0.9993,4.8333,11.9411
30,66,16,0.9993,4.5080,14.3056
31,38,9,0.9993,4.6590,8.4367
32,45,13,0.9993,4.7501,13.5352
33,38,10,0.9993,4.1521,7.8673
34,221,21,0.9992,4.1510,21.9220
35,24,6,0.9992,5.6351,8.4318
36,26,6,0.9992,3.5704,73.2985
37,32,7,0.9992,4.7976,10.9406
38,42,13,0.9991,4.1875,7.5623
39,83,13,0.9991,4.9663,10.3349
40,362,27,0.9991,4.9616,19.9186
41,57,12,0.9991,3.5833,12.5902
42,37,8,0.9991,5.4149,11.9028
43,37,9,0.9990,4.6704,9.2406
44,37,10,0.9990,4.3686,8.3869
45,44,12,0.9990,5.6429,9.1632
46,54,10,0.9990,4.2268,17.1263
47,35,8,0.9989,4.3530,14.4214
48,33,9,0.9989,4.4700,10.2729
49,56,11,0.9989,3.9081,17.9711
50,39,11,0.9989,5.1254,12.4739
51,38,9,0.9989,3.7839,13.2124
52,110,17,0.9988,4.2176,19.9104
53,28,6,0.9988,3.3072,14.6569
54,45,11,0.9988,5.7550,15.0329
55,283,24,0.9988,4.8895,33.3379
56,38,8,0.9987,4.4655,14.1365
57,28,7,0.9987,2.5725,12.0323
58,36,9,0.9987,3.8549,11.4628
59,29,8,0.9987,3.9575,12.7429
60,46,9,0.9987,4.8359,12.9849
61,40,11,0.9986,3.7193,12.7764
62,37,11,0.9986,5.8555,14.3222
63,40,7,0.9986,4.2471,15.7033
64,36,9,0.9986,7.5092,12.4096
65,39,10,0.9985,3.7199,12.4527
66,32,9,0.9985,4.0989,12.0853
67,39,11,0.9985,5.2280,11.2315
68,37,9,0.9985,5.3653,15.1411
69,73,10,0.9984,5.0990,15.2504
70,56,12,0.9984,5.0415,13.5889
71,34,9,0.9984,6.2124,11.0386
72,29,7,0.9984,4.7231,12.6602
73,80,13,0.9984,3.4197,15.4507
74,49,10,0.9983,5.0072,12.1215
75,90,13,0.9983,3.9729,18.3731
76,34,10,0.9983,3.5378,10.5168
77,55,15,0.9983,4.0601,13.8189
78,61,12,0.9982,4.1262,13.9747
79,34,9,0.9982,4.0406,12.3568
80,65,11,0.9982,4.5089,14.9733
81,41,12,0.9982,4.0332,12.1353
82,33,8,0.9982,4.4097,11.9550
