episode,score,steps,epsilon,loss,avg_q
1,60,13,0.9996,0.0000,0.0549
2,35,9,0.9992,0.0000,0.0573
3,72,15,0.9989,5.0772,0.0649
4,34,8,0.9985,4.7408,0.1457
5,45,8,0.9981,4.9241,0.3805
6,36,9,0.9977,5.4983,0.9009
7,129,16,0.9973,3.9486,3.2600
8,230,19,0.9970,4.6414,4.1097
9,33,10,0.9966,5.1682,5.3853
10,30,8,0.9962,4.9683,5.9103
11,57,13,0.9958,5.1638,6.3543
12,53,10,0.9954,4.7386,6.8011
13,58,11,0.9951,4.3686,7.5850
14,60,14,0.9947,5.2726,9.1977
15,79,15,0.9943,3.5521,12.8385
16,38,11,0.9939,4.2224,7.6593
17,44,12,0.9935,4.2970,10.3316
18,237,20,0.9932,4.5462,8.5185
19,54,11,0.9928,5.7465,5.5803
20,55,13,0.9924,4.6432,8.9232
21,40,10,0.9920,4.7040,10.6970
22,62,13,0.9916,4.2205,8.4607
23,33,8,0.9913,3.9713,6.5413
24,41,10,0.9909,5.0315,5.5850
25,77,14,0.9905,4.9210,11.3223
26,91,17,0.9901,4.0760,7.3884
27,35,8,0.9897,5.8844,8.9534
28,32,9,0.9894,4.8456,8.1019
29,87,14,0.9890,3.9221,7.7854
30,43,12,0.9886,4.2868,8.8820
31,61,14,0.9882,4.0225,6.3567
32,40,11,0.9878,5.4774,7.6887
33,171,19,0.9875,4.2288,8.1685
34,62,13,0.9871,4.7799,8.3454
35,65,15,0.9867,4.6241,7.9042
36,132,16,0.9863,4.3984,8.3136
37,52,13,0.9859,4.1055,6.8712
38,77,14,0.9856,4.9815,7.8548
39,39,11,0.9852,4.3896,6.7247
40,122,19,0.9848,3.7350,8.4035
41,67,12,0.9844,3.9831,5.5868
42,110,14,0.9840,4.4933,7.7840
43,32,9,0.9837,9.6862,7.9467
44,120,16,0.9833,6.2600,16.2724
45,58,11,0.9829,5.0212,13.5762
46,35,8,0.9825,5.1659,14.9493
47,41,12,0.9821,5.7808,16.8844
48,52,11,0.9818,6.5730,15.4609
49,27,8,0.9814,4.1870,13.5308
50,42,10,0.9810,6.8722,16.7089
51,122,15,0.9806,6.7812,16.4612
52,70,11,0.9802,6.1666,14.5891
53,36,9,0.9799,5.8891,13.4403
54,45,13,0.9795,4.9195,14.6646
55,34,10,0.9791,6.1676,12.7828
56,46,11,0.9787,5.5584,14.2233
57,43,10,0.9783,5.2901,14.1998
58,89,14,0.9780,6.8528,15.7691
59,47,12,0.9776,5.1368,13.4171
60,170,21,0.9772,6.0299,14.6499
61,20,6,0.9768,5.0086,11.1645
62,83,11,0.9764,4.2255,13.4051
63,88,16,0.9761,5.1351,12.1337
64,105,17,0.9757,5.7859,13.6486
65,26,6,0.9753,4.5763,10.4057
66,34,9,0.9749,5.0595,10.7245
67,38,10,0.9745,6.4956,11.4963
68,42,11,0.9742,5.1166,13.7242
69,55,11,0.9738,6.3667,14.3849
70,49,10,0.9734,5.5876,13.9467
71,39,10,0.9730,4.5271,11.9981
72,56,11,0.9726,5.4542,10.9489
73,48,13,0.9723,3.9076,13.9325
74,55,15,0.9719,4.8812,13.8723
75,103,16,0.9715,6.1393,13.5135
76,139,18,0.9711,5.6498,13.2014
77,37,11,0.9707,4.2279,12.1403
78,120,15,0.9704,4.7905,12.9772
79,35,10,0.9700,4.7718,12.3593
80,88,16,0.9696,4.7688,14.6005
81,51,11,0.9692,4.4621,13.1866
82,78,12,0.9688,4.3172,13.4582
83,61,11,0.9685,5.5666,13.8330
84,51,10,0.9681,5.6122,12.2452
85,57,11,0.9677,7.8122,14.3854
86,35,10,0.9673,5.6040,18.7108
87,131,16,0.9669,6.0644,19.3461
88,40,10,0.9666,7.1929,17.5338
89,57,12,0.9662,5.7837,20.1296
90,56,13,0.9658,6.1303,21.1088
91,72,13,0.9654,5.5005,20.4043
92,49,10,0.9650,5.4394,18.3082
93,54,10,0.9647,4.3830,19.3876
94,48,10,0.9643,6.4876,18.5234
95,45,11,0.9639,6.6078,17.6300
96,41,11,0.9635,6.4982,18.2469
97,34,8,0.9631,5.1478,19.3388
98,45,12,0.9628,6.3624,19.1908
99,27,7,0.9624,5.8528,18.4935
100,35,10,0.9620,5.2835,21.8123
101,32,9,0.9616,6.1083,18.0839
102,38,11,0.9612,5.0871,18.6821
103,67,14,0.9609,5.5632,23.2664
104,38,9,0.9605,6.1020,20.8443
105,55,14,0.9601,5.0767,20.3194
106,63,14,0.9597,5.3337,20.3119
107,60,13,0.9593,5.3701,21.0506
108,40,11,0.9590,4.7907,20.4056
109,44,12,0.9586,5.5858,19.5298
110,30,6,0.9582,5.4887,20.3684
111,39,9,0.9578,4.6566,20.8106
112,86,14,0.9574,5.0193,18.5565
113,38,10,0.9571,4.1073,21.1997
114,89,14,0.9567,4.5384,19.8838
115,34,8,0.9563,4.3654,18.7405
116,59,13,0.9559,5.2197,19.6962
117,34,9,0.9555,4.7281,18.2972
118,58,12,0.9552,5.1036,20.8741
119,33,9,0.9548,5.4776,19.1974
120,63,14,0.9544,4.1977,19.0208
121,83,13,0.9540,4.7109,22.9891
122,58,12,0.9536,5.0995,19.3607
123,32,8,0.9533,4.7156,19.2762
124,32,9,0.9529,5.6030,16.8386
125,89,15,0.9525,5.3085,20.4368
126,80,12,0.9521,4.6072,22.1807
127,38,9,0.9517,5.2809,21.3445
128,169,18,0.9514,5.0135,20.2959
129,27,8,0.9510,6.1933,18.8105
130,34,9,0.9506,9.6041,23.2813
131,58,10,0.9502,6.8747,34.7071
132,39,12,0.9498,7.7562,27.3036
133,39,10,0.9495,5.7583,25.7914
134,38,8,0.9491,6.4756,28.9445
135,53,10,0.9487,6.7009,27.6097
136,127,22,0.9483,5.1311,31.4856
137,46,9,0.9479,5.1008,28.5813
138,46,9,0.9476,6.6775,23.5940
139,30,6,0.9472,4.7936,31.8986
140,40,11,0.9468,7.3695,29.9976
141,34,9,0.9464,6.1264,27.3064
