rollout,total_steps,avg_score,avg_steps,policy_loss,value_loss,entropy
1,2048,60.67,11.59,0.1374,2661.7230,2.0644
2,4096,60.73,10.93,0.0361,4475.1756,2.0193
3,6144,57.54,11.00,0.0322,2778.9725,1.9674
4,8192,59.04,11.41,0.0212,2992.0722,2.0366
5,10240,62.77,11.70,0.0351,3137.5836,2.0432
6,12288,63.26,11.40,0.0368,3743.4966,1.9812
7,14336,63.05,11.54,0.0183,4404.2531,1.9943
8,16384,68.10,11.95,0.0430,3382.4235,1.9704
9,18432,62.18,11.45,0.0319,3695.3876,2.0076
10,20480,64.01,11.72,0.0177,4455.3722,1.9896
11,22528,62.32,11.31,0.0260,3489.6132,2.0180
12,24576,58.19,11.42,0.0117,3385.6625,1.9073
13,26624,67.42,12.05,0.0172,3230.3343,1.8930
14,28672,63.00,11.48,0.0274,3433.2288,1.9201
15,30720,64.08,11.65,0.0177,4144.4577,1.8497
16,32768,58.22,11.21,0.0208,4277.3829,1.9320
17,34816,59.35,11.47,0.0171,2934.2052,1.7794
18,36864,60.92,11.61,0.0158,3087.7706,1.8246
19,38912,66.60,12.09,0.0081,3889.8362,1.9168
20,40960,61.65,11.76,0.0104,3488.9737,1.9770
21,43008,57.91,11.32,0.0225,2630.5473,2.0239
22,45056,57.16,11.22,0.0105,2481.3907,2.0555
23,47104,66.81,11.87,0.0225,3244.0401,1.9220
24,49152,65.30,11.93,0.0267,3169.1374,1.8556
25,51200,67.72,11.84,0.0333,3703.2813,1.7458
26,53248,60.71,11.59,0.0183,3812.0927,1.7390
27,55296,60.39,11.70,0.0231,2782.7847,1.7910
28,57344,65.61,12.10,0.0123,4754.0957,1.7179
29,59392,63.21,11.71,0.0241,2964.5836,1.8165
30,61440,61.09,11.29,0.0169,3095.0118,1.8316
31,63488,54.68,11.23,0.0133,3235.8973,1.8847
32,65536,62.23,11.09,0.0057,4079.4437,1.8746
33,67584,58.58,11.27,0.0179,3250.0522,1.8567
34,69632,62.26,11.71,0.0278,3779.6105,1.7835
35,71680,58.77,11.25,0.0115,3396.4704,1.8644
36,73728,61.46,11.58,0.0139,2967.2287,1.8271
37,75776,70.82,12.10,0.0130,3623.2401,1.7436
38,77824,64.89,11.76,0.0146,3436.6666,1.8127
39,79872,58.60,11.05,0.0198,2998.0272,1.8245
40,81920,61.73,11.68,0.0118,2551.6331,1.8308
41,83968,70.01,11.81,0.0223,3739.5405,1.8091
42,86016,63.94,11.81,0.0167,3848.3357,1.8759
43,88064,63.12,11.48,0.0084,3893.3889,1.8460
44,90112,65.10,11.87,0.0125,3468.0720,1.8281
45,92160,66.37,11.85,0.0161,3954.5431,1.8338
46,94208,62.35,11.73,0.0108,3002.8345,1.8993
47,96256,65.12,11.38,0.0129,2942.6275,1.9521
48,98304,59.38,11.36,0.0134,3220.6121,1.9397
49,100352,66.97,12.00,0.0104,2804.8431,1.9191
50,102400,59.27,11.22,0.0352,3905.7354,1.8620
51,104448,56.46,11.05,0.0136,4384.4352,1.8746
52,106496,65.13,11.58,0.0115,4417.6704,1.8283
53,108544,58.18,11.20,0.0260,3091.8346,1.8922
54,110592,62.46,11.83,0.0162,3224.1408,1.8463
55,112640,67.65,12.07,0.0194,3291.2034,1.8258
56,114688,62.92,11.51,0.0098,3616.3288,1.8246
57,116736,65.50,11.73,0.0161,3031.5161,1.7821
58,118784,64.80,11.90,0.0161,5983.7118,1.7823
59,120832,69.45,12.35,0.0186,3779.6360,1.7711
60,122880,62.98,11.63,0.0111,3407.2847,1.7399
61,124928,63.86,11.74,0.0194,4198.4708,1.7354
62,126976,70.78,12.16,0.0208,4550.5700,1.7407
63,129024,63.18,11.73,0.0092,3419.1995,1.7845
64,131072,66.40,11.89,0.0068,3964.1360,1.8016
65,133120,63.00,11.77,0.0123,3339.1663,1.8317
66,135168,69.17,11.93,0.0303,3462.9870,1.7747
67,137216,70.55,12.14,0.0274,3775.2580,1.7363
68,139264,75.52,12.08,0.0178,6652.9496,1.8073
69,141312,65.33,11.62,0.0373,3806.5415,1.7915
70,143360,64.21,12.01,0.0398,3829.0224,1.7161
71,145408,61.22,11.50,0.0276,4142.4838,1.7381
72,147456,70.39,11.94,0.0475,3584.1019,1.6011
73,149504,57.33,11.21,0.0417,3222.1485,1.6623
74,151552,64.96,11.76,0.0379,2834.1802,1.6264
